ITEM_NO,CLI_CODE,LE_CODE,SO_REF,SO_DATE,DLVRY_DATE,QTY,PRICE,TOT_VAL,MARGIN_PCT
ART00174,CLI081,LE001,SO5149639,11/16/2024,12/20/2024,55,21.01,1155.55,21.75
ART00763,CLI059,LE003,SO9603768,02/17/2023,02/22/2023,16,9.4,150.4,33.3
ART00059,CLI026,LE002,SO7866092,11/14/2023,11/24/2023,422,220.33,92979.26,13.32
ART00022,CLI098,LE002,SO3858088,05/05/2024,06/13/2024,490,266.55,130609.5,31.88
ART00975,CLI068,LE001,SO3603377,03/06/2021,03/12/2021,480,161.69,77611.2,26.98
ART00307,CLI069,LE002,SO8773363,08/01/2023,,452,147.44,66642.88,27.27
ART00483,CLI025,LE003,SO8411463,09/03/2024,09/10/2024,134,220.16,29501.44,43.39
ART00912,CLI074,LE002,SO1565171,04/05/2021,04/16/2021,364,25.6,9318.4,36.76
ART00263,CLI016,LE003,SO1284923,10/06/2021,10/31/2021,183,100.36,18365.88,35.64
ART00033,CLI010,LE002,SO7524336,01/24/2024,02/06/2024,304,285.04,86652.16,47.6
ART00805,CLI016,LE003,SO7054605,05/03/2021,06/02/2021,216,7008.22,1513775.52,12.88
ART00901,CLI080,LE001,SO5796247,10/05/2024,11/11/2024,141,1827.72,257708.52,20.91
ART00306,CLI098,LE002,SO3930170,01/19/2023,02/07/2023,331,256.87,85023.97,35.66
ART00790,CLI005,LE001,SO3589322,12/15/2022,01/04/2023,124,20.34,2522.16,51.72
ART00483,CLI021,LE003,SO9063947,11/29/2022,12/02/2022,148,176.38,26104.24,29.33
ART00842,CLI093,LE001,SO9549758,06/04/2023,07/17/2023,227,367.41,83402.07,14.15
ART00184,CLI041,LE001,SO7207219,12/28/2024,,117,43.5,5089.5,42.76
ART00728,CLI021,LE003,SO8850882,09/02/2022,09/07/2022,117,327.41,38306.97,45.65
ART00486,CLI024,LE003,SO5867068,10/19/2022,12/01/2022,206,761.62,156893.72,19.42
ART00796,CLI100,LE001,SO4999132,04/08/2022,05/16/2022,141,139.11,19614.51,8.17
ART00161,CLI069,LE002,SO3149924,01/30/2022,02/01/2022,152,174.88,26581.76,23.59
ART00268,CLI072,LE001,SO8193725,01/02/2024,01/30/2024,10,379.46,3794.6,45.51
ART00183,CLI085,LE003,SO5984298,07/04/2021,07/06/2021,259,39.35,10191.65,0.53
ART00814,CLI039,LE003,SO8312051,01/19/2022,,416,3.74,1555.84,30.48
ART00793,CLI088,LE001,SO3011141,12/02/2024,01/09/2025,483,1461.2,705759.6,51.28
ART00184,CLI019,LE002,SO9015278,06/14/2022,06/24/2022,46,44.03,2025.38,43.45
ART00823,CLI068,LE001,SO3552522,06/17/2024,06/20/2024,128,25.72,3292.16,19.6
ART00269,CLI022,LE003,SO3402463,04/03/2021,04/06/2021,222,6157.31,1366922.82,37.36
ART00512,CLI020,LE003,SO2484124,10/15/2022,11/23/2022,237,1927.04,456708.48,13.06
ART00899,CLI092,LE003,SO4017040,12/04/2024,12/09/2024,290,721.84,209333.6,32.77
ART00220,CLI059,LE003,SO3513866,07/19/2023,08/21/2023,453,51.17,23180.01,31.62
ART00743,CLI094,LE003,SO9414003,10/03/2021,11/04/2021,120,675.07,81008.4,16.03
ART00275,CLI090,LE001,SO1590785,07/26/2024,08/27/2024,343,82.98,28462.14,26.08
ART00263,CLI031,LE001,SO2817964,01/06/2021,01/20/2021,213,109.17,23253.21,40.84
ART00276,CLI075,LE001,SO4974121,08/14/2022,09/14/2022,353,821.8,290095.4,48.74
ART00069,CLI099,LE002,SO9384936,03/11/2024,04/10/2024,98,451.55,44251.9,26.31
ART00879,CLI094,LE003,SO6995600,06/07/2023,06/30/2023,294,117.96,34680.24,43.34
ART00486,CLI092,LE003,SO9116398,05/15/2024,06/01/2024,212,670.59,142165.08,8.49
ART00938,CLI056,LE001,SO2288669,10/19/2024,11/05/2024,264,232.09,61271.76,35.18
ART00599,CLI002,LE003,SO7942467,05/13/2023,06/02/2023,200,501.31,100262,41.37
ART00427,CLI027,LE003,SO2083775,03/22/2022,03/31/2022,39,467.91,18248.49,39.99
ART00608,CLI049,LE003,SO6258344,11/19/2021,12/05/2021,329,199.68,65694.72,31.97
ART00371,CLI040,LE003,SO6078618,07/13/2022,08/15/2022,287,150.03,43058.61,32.91
ART00594,CLI070,LE001,SO2100483,12/12/2023,01/16/2024,358,81.57,29202.06,37.17
ART00269,CLI062,LE001,SO6863462,10/19/2021,10/23/2021,140,6418.53,898594.2,39.91
ART00908,CLI034,LE003,SO3617400,04/11/2024,,241,293.82,70810.62,43.16
ART00869,CLI011,LE003,SO2464931,12/18/2023,01/29/2024,25,265.11,6627.75,38.17
ART00862,CLI022,LE003,SO1362945,08/26/2021,08/28/2021,149,226.27,33714.23,44
ART00483,CLI009,LE003,SO5148448,05/30/2021,06/14/2021,18,194.96,3509.28,36.07
ART00497,CLI032,LE003,SO4576548,03/07/2024,04/11/2024,39,1081.75,42188.25,53.97
ART00467,CLI097,LE001,SO7990476,02/18/2024,03/22/2024,82,64.51,5289.82,41.19
ART00069,CLI037,LE003,SO4901802,12/19/2022,,136,379.78,51650.08,12.38
ART00652,CLI077,LE003,SO1810607,09/10/2024,09/21/2024,140,724.21,101389.4,38.46
ART00197,CLI092,LE003,SO4499457,10/04/2023,11/08/2023,443,30.91,13693.13,27.31
ART00760,CLI016,LE003,SO5736937,10/01/2024,10/15/2024,81,1009.04,81732.24,52.06
ART00424,CLI060,LE001,SO4732581,12/05/2024,12/28/2024,500,18.26,9130,44.85
ART00291,CLI089,LE003,SO8644367,08/07/2024,09/01/2024,89,191.03,17001.67,49.04
ART00982,CLI083,LE002,SO5809465,04/21/2021,04/29/2021,31,154.73,4796.63,37.49
ART00997,CLI046,LE002,SO8070122,12/20/2021,01/19/2022,337,98.11,33063.07,28.46
ART00632,CLI081,LE001,SO9768607,07/31/2024,09/13/2024,316,135.03,42669.48,49.86
ART00420,CLI088,LE001,SO5320424,06/07/2024,06/14/2024,321,370.52,118936.92,17.31
ART00015,CLI069,LE002,SO3293143,05/01/2023,05/17/2023,204,1267.34,258537.36,36.99
ART00777,CLI083,LE002,SO6796435,05/22/2021,07/03/2021,82,721.61,59172.02,27.62
ART00960,CLI084,LE002,SO5571985,12/31/2021,01/14/2022,345,19.32,6665.4,47.57
ART00988,CLI017,LE002,SO4244558,12/18/2022,02/01/2023,352,121.67,42827.84,23.07
ART00942,CLI029,LE003,SO6301141,09/06/2024,09/23/2024,396,10127.28,4010402.88,44.09
ART00520,CLI072,LE001,SO3218333,11/23/2024,12/20/2024,219,37.17,8140.23,23.92
ART00492,CLI080,LE001,SO4690957,10/30/2023,,94,1426.88,134126.72,28.47
ART00163,CLI054,LE002,SO2756658,01/28/2024,02/04/2024,250,1498.27,374567.5,54.64
ART00002,CLI034,LE003,SO2081168,03/09/2023,03/21/2023,239,580.11,138646.29,37.3
ART00216,CLI029,LE003,SO6103968,07/21/2023,08/22/2023,27,9594.42,259049.34,28.82
ART00012,CLI001,LE002,SO1704286,03/15/2024,03/18/2024,486,240.3,116785.8,32.85
ART00387,CLI014,LE003,SO3573979,08/19/2024,09/27/2024,238,84.58,20130.04,52.38
ART00235,CLI064,LE003,SO5584903,05/09/2022,05/31/2022,301,51.06,15369.06,47
ART00458,CLI041,LE001,SO7684241,10/14/2024,10/28/2024,394,162.31,63950.14,51.89
ART00327,CLI011,LE003,SO9246483,06/14/2024,06/24/2024,104,179.16,18632.64,55.65
ART00550,CLI040,LE003,SO5231735,08/12/2022,08/24/2022,90,18.83,1694.7,26.77
ART00079,CLI001,LE002,SO5394267,07/04/2024,07/08/2024,182,59.62,10850.84,49.98
ART00816,CLI073,LE003,SO3372081,07/19/2024,,411,343.15,141034.65,42.96
ART00253,CLI020,LE003,SO8001363,12/19/2021,12/28/2021,315,561.34,176822.1,17.84
ART00293,CLI088,LE001,SO9623367,12/30/2021,02/01/2022,203,830.89,168670.67,27.94
ART00308,CLI013,LE001,SO7663282,09/08/2022,10/21/2022,144,234.97,33835.68,41.18
ART00119,CLI075,LE001,SO4179689,07/30/2021,08/18/2021,293,439.39,128741.27,22.95
ART00156,CLI100,LE001,SO4576951,04/24/2024,,183,593.54,108617.82,34.63
ART00014,CLI044,LE001,SO4192703,12/31/2023,,103,116.82,12032.46,42.57
ART00965,CLI086,LE001,SO9542387,10/19/2023,10/30/2023,31,224.39,6956.09,34.4
ART00814,CLI014,LE003,SO5694431,08/09/2024,08/20/2024,323,4.36,1408.28,40.37
ART00803,CLI024,LE003,SO3833820,03/13/2022,,21,690.24,14495.04,34.32
ART00105,CLI049,LE003,SO4845571,05/04/2021,05/21/2021,200,27.2,5440,24.93
ART00549,CLI092,LE003,SO9663860,10/17/2023,11/24/2023,486,5925.43,2879758.98,30.37
ART00094,CLI017,LE002,SO7841941,03/10/2021,03/29/2021,107,50.58,5412.06,45.81
ART00485,CLI031,LE001,SO6388105,04/15/2023,05/13/2023,194,3357.33,651322.02,49.62
ART00660,CLI030,LE003,SO8237260,11/05/2024,11/30/2024,209,19.31,4035.79,40.81
ART00728,CLI049,LE003,SO3322314,06/05/2021,06/24/2021,183,331.27,60622.41,46.28
ART00981,CLI083,LE002,SO4356241,09/08/2023,10/09/2023,312,51.47,16058.64,3.32
ART00338,CLI070,LE001,SO7069465,04/06/2023,04/25/2023,486,49.71,24159.06,35.95
ART00277,CLI008,LE001,SO4750503,11/19/2021,01/02/2022,345,29.64,10225.8,30.67
ART00388,CLI048,LE001,SO6555720,05/19/2021,06/12/2021,138,167.32,23090.16,47.9
ART00826,CLI025,LE003,SO1890665,10/19/2023,11/04/2023,365,290.49,106028.85,15.08
ART00981,CLI026,LE002,SO8469054,01/06/2024,01/31/2024,180,64.15,11547,22.43
ART00273,CLI015,LE001,SO5840628,05/12/2023,06/22/2023,442,223.46,98769.32,46.28
ART00064,CLI001,LE002,SO8628270,05/08/2024,06/19/2024,442,13500.55,5967243.1,43.26
ART00140,CLI068,LE001,SO5174852,11/17/2024,12/30/2024,273,29.79,8132.67,1.04
ART00377,CLI056,LE001,SO1788320,01/26/2021,03/12/2021,493,5916.59,2916878.87,31.91
ART00335,CLI099,LE002,SO9434828,11/18/2021,12/11/2021,25,29.8,745,27.42
ART00740,CLI029,LE003,SO2483782,12/06/2024,12/11/2024,89,70.71,6293.19,52.31
ART00014,CLI064,LE003,SO2899379,09/11/2021,10/02/2021,471,104.79,49356.09,35.98
ART00742,CLI015,LE001,SO2434228,01/12/2023,02/24/2023,286,5.46,1561.56,35.9
ART00127,CLI086,LE001,SO9736795,06/05/2023,07/03/2023,309,273.35,84465.15,23.01
ART00043,CLI036,LE002,SO3859477,04/06/2023,05/04/2023,281,772.12,216965.72,20.71
ART00864,CLI060,LE001,SO7529571,07/16/2022,08/28/2022,14,41.48,580.72,45.59
ART00159,CLI044,LE001,SO5088163,11/27/2023,01/09/2024,375,868.95,325856.25,32.02
ART00378,CLI070,LE001,SO9108496,12/13/2024,,338,346.56,117137.28,29.69
ART00628,CLI017,LE002,SO4706058,08/13/2022,09/21/2022,166,21.12,3505.92,34.71
ART00821,CLI052,LE001,SO7650126,03/05/2024,03/13/2024,282,4280.22,1207022.04,52.31
ART00376,CLI067,LE003,SO5858112,10/26/2023,11/07/2023,92,59.09,5436.28,56.05
ART00179,CLI071,LE002,SO6492676,10/29/2022,11/16/2022,397,229.69,91186.93,36.81
ART00550,CLI056,LE001,SO5219037,12/08/2024,01/14/2025,466,22.71,10582.86,39.28
ART00997,CLI055,LE001,SO3218556,11/24/2023,12/26/2023,182,119.52,21752.64,41.27
ART00171,CLI012,LE001,SO4086837,03/03/2024,03/12/2024,419,541.62,226938.78,24.38
ART00854,CLI019,LE002,SO1586215,08/30/2024,09/07/2024,206,742.92,153041.52,20.61
ART00230,CLI017,LE002,SO8121102,02/08/2023,03/03/2023,63,259.62,16356.06,10.02
ART00489,CLI042,LE003,SO4585991,10/21/2024,,213,98.65,21012.45,35.58
ART00759,CLI045,LE003,SO6071991,09/08/2024,10/05/2024,352,7108.98,2502360.96,28.63
ART00380,CLI096,LE003,SO7016305,11/01/2021,12/14/2021,77,176.18,13565.86,31.99
ART00829,CLI030,LE003,SO6195991,10/13/2024,11/18/2024,376,51.37,19315.12,34.83
ART00746,CLI045,LE003,SO7100215,08/14/2023,09/11/2023,225,32.06,7213.5,45.23
ART00551,CLI011,LE003,SO9859523,05/23/2022,06/26/2022,221,1032.33,228144.93,46.93
ART00087,CLI048,LE001,SO8368017,07/26/2021,08/14/2021,163,169.29,27594.27,34.67
ART00483,CLI068,LE001,SO8404366,05/07/2024,,55,212.57,11691.35,41.37
ART00808,CLI023,LE002,SO3772520,09/22/2023,11/05/2023,417,584.11,243573.87,29.07
ART00437,CLI024,LE003,SO2319985,11/25/2022,12/12/2022,55,561.78,30897.9,50.25
ART00183,CLI089,LE003,SO3794821,05/08/2022,05/16/2022,119,38.7,4605.3,-1.14
ART00700,CLI068,LE001,SO4404834,10/18/2022,11/25/2022,458,27.73,12700.34,18.32
ART00108,CLI091,LE002,SO5147356,04/12/2022,05/09/2022,35,3824.15,133845.25,42.63
ART00390,CLI030,LE003,SO7847144,08/24/2024,09/22/2024,111,45.69,5071.59,29.33
ART00126,CLI053,LE003,SO2150100,10/02/2022,10/20/2022,437,105.48,46094.76,22.24
ART00289,CLI005,LE001,SO2429345,12/11/2022,01/15/2023,153,295.36,45190.08,51.73
ART00862,CLI079,LE001,SO9027332,06/03/2022,07/06/2022,458,214.24,98121.92,40.86
ART00614,CLI011,LE003,SO3964355,12/07/2024,,211,60.29,12721.19,53.82
ART00572,CLI056,LE001,SO4160469,12/11/2022,01/18/2023,419,575.87,241289.53,45.67
ART00239,CLI026,LE002,SO6840395,10/26/2023,11/13/2023,421,13.59,5721.39,38.93
ART00103,CLI008,LE001,SO6604153,12/29/2021,01/30/2022,330,1554.66,513037.8,40.44
ART00415,CLI092,LE003,SO3888728,01/18/2024,02/27/2024,372,390.23,145165.56,51.98
ART00565,CLI063,LE001,SO4006968,01/16/2023,01/17/2023,413,3475.32,1435307.16,27.83
ART00394,CLI074,LE002,SO7178717,06/05/2021,07/07/2021,93,241.99,22505.07,25.08
ART00993,CLI086,LE001,SO5418600,11/16/2024,11/29/2024,31,95.9,2972.9,52.81
ART00383,CLI007,LE001,SO1698840,12/03/2022,12/14/2022,401,243.59,97679.59,48.41
ART00408,CLI079,LE001,SO1083338,11/01/2023,11/07/2023,134,27.18,3642.12,30.5
ART00634,CLI054,LE002,SO4777611,08/21/2023,,414,7955.99,3293779.86,18.93
ART00980,CLI098,LE002,SO8926510,06/04/2023,,344,3.63,1248.72,20.11
ART00370,CLI040,LE003,SO2876363,01/24/2021,02/23/2021,84,205.38,17251.92,29.82
ART00487,CLI048,LE001,SO3041180,04/26/2022,06/01/2022,483,321.84,155448.72,49.91
ART00676,CLI088,LE001,SO1657727,10/30/2021,11/18/2021,395,292.78,115648.1,8.27
ART00198,CLI014,LE003,SO5427433,11/14/2023,11/25/2023,213,369.46,78694.98,36.47
ART00274,CLI070,LE001,SO3564641,12/21/2024,01/25/2025,475,10201.78,4845845.5,38.44
ART00202,CLI057,LE002,SO5527842,08/29/2021,,135,723.1,97618.5,39.53
ART00923,CLI006,LE002,SO4936725,10/13/2021,11/01/2021,299,279.29,83507.71,34.83
ART00818,CLI072,LE001,SO8012605,09/21/2023,10/12/2023,364,36.34,13227.76,45.02
ART00537,CLI016,LE003,SO4870458,02/17/2022,02/25/2022,223,371.1,82755.3,53.02
ART00621,CLI074,LE002,SO3235446,12/07/2022,01/17/2023,430,2334.16,1003688.8,37.39
ART00853,CLI087,LE002,SO2336402,05/18/2023,05/26/2023,418,37.5,15675,39.44
ART00968,CLI011,LE003,SO3937902,04/13/2023,05/19/2023,385,3852.88,1483358.8,49.03
ART00051,CLI011,LE003,SO2879535,05/03/2021,05/17/2021,399,869.86,347074.14,30.65
ART00307,CLI014,LE003,SO8467539,06/03/2023,06/22/2023,360,135.56,48801.6,20.89
ART00545,CLI099,LE002,SO2891508,10/15/2023,,500,76.75,38375,42.68
ART00824,CLI057,LE002,SO2447457,11/29/2023,12/28/2023,386,9.21,3555.06,37.46
ART00309,CLI048,LE001,SO9434768,04/13/2021,05/08/2021,226,5891.25,1331422.5,53.99
ART00688,CLI030,LE003,SO9269918,12/01/2024,12/26/2024,248,130.03,32247.44,29.26
ART00533,CLI072,LE001,SO6640758,11/18/2023,12/27/2023,112,45.12,5053.44,11.86
ART00435,CLI084,LE002,SO4023658,12/24/2022,12/27/2022,459,370.73,170165.07,42.75
ART00203,CLI041,LE001,SO6338850,11/02/2023,11/26/2023,418,7261.98,3035507.64,53.17
ART00720,CLI089,LE003,SO7907595,08/24/2023,09/15/2023,297,203.2,60350.4,43.55
ART00871,CLI080,LE001,SO3151341,09/09/2024,09/20/2024,220,23.77,5229.4,27.47
ART00527,CLI088,LE001,SO8877727,05/03/2022,06/13/2022,449,351.8,157958.2,56.36
ART00940,CLI010,LE002,SO5220676,10/19/2022,11/25/2022,19,5250.05,99750.95,31.19
ART00831,CLI063,LE001,SO4670475,03/27/2023,04/29/2023,422,311.22,131334.84,42.71
ART00027,CLI041,LE001,SO7318452,07/13/2023,08/14/2023,454,20.91,9493.14,7.22
ART00624,CLI056,LE001,SO1287912,07/02/2023,08/12/2023,406,2511.17,1019535.02,46.26
ART00809,CLI088,LE001,SO4901154,03/30/2024,04/03/2024,123,179.44,22071.12,34.3
ART00155,CLI002,LE003,SO4818791,08/15/2023,09/03/2023,415,44.5,18467.5,15.35
ART00933,CLI021,LE003,SO2820485,06/08/2021,07/16/2021,439,22.96,10079.44,43.42
ART00739,CLI092,LE003,SO6812197,02/09/2024,03/03/2024,139,698.11,97037.29,53.37
ART00009,CLI007,LE001,SO6386566,09/04/2022,09/26/2022,51,401.19,20460.69,47.88
ART00594,CLI074,LE002,SO2401582,10/14/2021,11/05/2021,359,90.95,32651.05,43.65
ART00068,CLI009,LE003,SO2146612,06/15/2022,07/28/2022,215,29.76,6398.4,27.55
ART00301,CLI097,LE001,SO6364169,10/27/2024,11/28/2024,46,47.51,2185.46,52.03
ART00478,CLI050,LE003,SO3018918,06/29/2023,07/16/2023,105,911.01,95656.05,38.57
ART00828,CLI058,LE003,SO6639077,05/05/2024,06/05/2024,49,639.52,31336.48,41.5
ART00836,CLI088,LE001,SO9022110,06/05/2021,06/29/2021,342,1941.41,663962.22,40.48
ART00538,CLI025,LE003,SO1000180,08/31/2023,09/29/2023,111,3546.66,393679.26,14.84
ART00926,CLI060,LE001,SO2622854,02/23/2024,03/31/2024,360,125.43,45154.8,31.63
ART00899,CLI058,LE003,SO7380033,04/12/2023,05/05/2023,297,739.89,219747.33,34.41
ART00160,CLI062,LE001,SO3280114,04/12/2021,04/13/2021,129,121.03,15612.87,36.56
ART00513,CLI015,LE001,SO1854739,05/06/2023,05/28/2023,411,28.22,11598.42,42.98
ART00336,CLI093,LE001,SO7673369,05/09/2023,06/12/2023,480,9185.52,4409049.6,47.97
ART00756,CLI045,LE003,SO4971861,07/01/2024,07/15/2024,206,536.81,110582.86,33.11
ART00997,CLI092,LE003,SO5115344,07/27/2024,08/03/2024,40,116.32,4652.8,39.66
ART00178,CLI077,LE003,SO5294035,04/05/2024,04/16/2024,352,66.71,23481.92,6.18
ART00864,CLI012,LE001,SO9966779,07/17/2022,08/22/2022,324,39.62,12836.88,43.03
ART00490,CLI016,LE003,SO6555402,10/13/2023,11/09/2023,446,3.42,1525.32,33.92
ART00295,CLI045,LE003,SO2514428,09/27/2023,11/08/2023,131,989.94,129682.14,43.48
ART00702,CLI056,LE001,SO8438564,03/16/2024,03/25/2024,251,33.78,8478.78,31.91
ART00117,CLI016,LE003,SO5363653,04/05/2024,04/16/2024,127,1911.15,242716.05,27.88
ART00325,CLI086,LE001,SO2757124,01/24/2024,02/19/2024,29,108.94,3159.26,18.97
ART00520,CLI046,LE002,SO5202296,02/10/2022,,373,31.8,11861.4,11.07
ART00291,CLI024,LE003,SO5131599,12/23/2021,01/06/2022,348,177.44,61749.12,45.14
ART00455,CLI014,LE003,SO2522428,02/23/2024,04/05/2024,250,689.04,172260,49.8
ART00780,CLI022,LE003,SO8872413,08/29/2021,08/31/2021,256,102.34,26199.04,34.81
ART00203,CLI032,LE003,SO7270658,05/26/2021,06/30/2021,54,6209.82,335330.28,45.23
ART00438,CLI004,LE001,SO9004403,08/13/2023,09/06/2023,48,159.17,7640.16,40.28
ART00399,CLI034,LE003,SO5857676,09/04/2024,09/26/2024,141,987.33,139213.53,48.82
ART00319,CLI010,LE002,SO1433031,12/25/2024,01/25/2025,458,285.13,130589.54,48.47
ART00970,CLI013,LE001,SO4582591,10/31/2023,12/06/2023,180,836.59,150586.2,38.67
ART00596,CLI061,LE003,SO8129872,10/31/2022,11/05/2022,137,158.93,21773.41,8.75
ART00590,CLI040,LE003,SO5281773,05/18/2021,05/28/2021,458,55.25,25304.5,47.55
ART00567,CLI027,LE003,SO1017494,03/29/2022,05/07/2022,459,355.69,163261.71,35.74
ART00979,CLI083,LE002,SO7261834,06/04/2023,06/14/2023,272,367.82,100047.04,20.84
ART00295,CLI013,LE001,SO3634689,08/02/2021,,336,1026.82,345011.52,45.51
ART00867,CLI080,LE001,SO2978799,08/31/2022,,86,2270.98,195304.28,42.75
ART00023,CLI068,LE001,SO1013197,10/29/2024,11/22/2024,398,948.14,377359.72,38.11
ART00835,CLI010,LE002,SO8211808,05/13/2024,05/26/2024,306,146.47,44819.82,30.46
ART00268,CLI023,LE002,SO3261211,11/15/2022,,347,345.48,119881.56,40.15
ART00464,CLI012,LE001,SO2467286,05/28/2021,07/12/2021,58,1178.28,68340.24,44.21
ART00367,CLI085,LE003,SO8623440,01/20/2022,01/25/2022,246,991.44,243894.24,45.84
ART00994,CLI047,LE001,SO3408059,05/03/2024,05/31/2024,451,121.61,54846.11,49.35
ART00388,CLI008,LE001,SO2827832,09/06/2021,09/09/2021,261,144.29,37659.69,39.59
ART00416,CLI075,LE001,SO7818055,12/09/2021,01/06/2022,295,213.45,62967.75,49.86
ART00189,CLI061,LE003,SO4184925,12/22/2022,01/10/2023,138,301.31,41580.78,47.3
ART00249,CLI032,LE003,SO6032564,06/08/2022,,109,941.58,102632.22,42.99
ART00752,CLI014,LE003,SO1291321,10/21/2024,11/20/2024,282,481.96,135912.72,46.63
ART00704,CLI025,LE003,SO1146595,09/04/2024,09/24/2024,334,22.95,7665.3,19
ART00848,CLI075,LE001,SO5145963,09/16/2022,10/07/2022,42,152.37,6399.54,16.39
ART00259,CLI076,LE001,SO4488176,03/18/2021,04/28/2021,165,95.55,15765.75,48.33
ART00590,CLI088,LE001,SO1812321,10/11/2022,,15,53.62,804.3,45.95
ART00713,CLI076,LE001,SO8459697,02/16/2024,03/20/2024,425,839.8,356915,41.02
ART00725,CLI059,LE003,SO3653547,05/28/2024,06/19/2024,319,1006.99,321229.81,50.16
ART00060,CLI057,LE002,SO9312378,12/31/2022,,24,925.02,22200.48,16.65
ART00818,CLI048,LE001,SO7932197,08/23/2021,09/27/2021,487,37.94,18476.78,47.34
ART00916,CLI098,LE002,SO9524477,10/30/2023,11/27/2023,239,48.39,11565.21,20.4
ART00570,CLI062,LE001,SO8524571,04/21/2022,05/14/2022,221,557.17,123134.57,36.99
ART00947,CLI088,LE001,SO9900798,02/17/2022,,498,69.41,34566.18,41.81
ART00153,CLI026,LE002,SO5475557,12/25/2024,01/30/2025,231,49.21,11367.51,42.25
ART00238,CLI024,LE003,SO1039019,06/17/2024,07/24/2024,61,32.56,1986.16,25.98
ART00651,CLI086,LE001,SO5853461,09/21/2024,09/26/2024,56,7439.27,416599.12,30.86
ART00845,CLI037,LE003,SO2980366,11/21/2021,12/04/2021,248,1168.02,289668.96,50.18
ART00163,CLI056,LE001,SO5243539,04/17/2021,05/05/2021,79,1404.56,110960.24,51.61
ART00509,CLI100,LE001,SO3775338,04/30/2021,05/24/2021,347,378.5,131339.5,35.15
ART00487,CLI048,LE001,SO1352861,06/18/2021,06/25/2021,37,265.28,9815.36,39.23
ART00133,CLI007,LE001,SO2355353,07/18/2022,08/15/2022,462,39.83,18401.46,45.24
ART00095,CLI015,LE001,SO8308243,12/24/2023,01/04/2024,129,1888.9,243668.1,47.49
ART00269,CLI064,LE003,SO9052666,05/25/2022,05/28/2022,176,6744.75,1187076,42.82
ART00087,CLI063,LE001,SO8693265,02/22/2021,03/07/2021,18,122.84,2211.12,9.97
ART00870,CLI028,LE002,SO4481997,07/24/2024,08/07/2024,443,236.49,104765.07,2.43
ART00618,CLI092,LE003,SO7680528,03/22/2023,04/02/2023,336,2088.14,701615.04,47.95
ART00971,CLI036,LE002,SO1164483,06/18/2022,07/15/2022,84,92.24,7748.16,27.15
