item_code,warehouse_id,supplier_id,legal_entity,po_number,order_date,receipt_date,quantity,unit_price,total_value,lead_time_days
ART00813,MAG017,SUP007,LE003,PO1129750,01/02/2023,10/02/2023,464,61.55,28559.2,9
ART00656,MAG005,SUP015,LE001,PO5950110,20/07/2024,25/07/2024,704,1774.5,1249248,5
ART00483,MAG013,SUP040,LE002,PO5619582,11/07/2021,24/08/2021,1525,110.29,168192.25,44
ART00580,MAG010,SUP020,LE002,PO6339017,25/10/2022,01/12/2022,109,2.01,219.09,37
ART00028,MAG014,SUP053,LE002,PO5736172,02/12/2021,18/01/2022,394,3.7,1457.8,47
ART00121,MAG009,SUP015,LE002,PO4502998,26/02/2022,,989,73.21,72404.69,
ART00441,MAG019,SUP004,LE003,PO8939675,04/12/2024,20/01/2025,758,2474.69,1875815.02,47
ART00628,MAG002,SUP018,LE001,PO3822523,16/04/2023,07/05/2023,1712,13.89,23779.68,21
ART00732,MAG019,SUP007,LE003,PO6716986,23/12/2022,28/12/2022,318,451.18,143475.24,5
ART00663,MAG005,SUP005,LE001,PO5631343,30/12/2024,08/01/2025,9,662.03,5958.27,9
ART00053,MAG006,SUP027,LE001,PO6813975,04/06/2022,16/07/2022,259,507.89,131543.51,42
ART00143,MAG007,SUP065,LE001,PO4099608,16/11/2022,05/12/2022,1329,84.57,112393.53,19
ART00573,MAG016,SUP018,LE003,PO5570264,22/07/2022,27/08/2022,1733,30.26,52440.58,36
ART00923,MAG012,SUP003,LE002,PO3977336,03/05/2024,27/05/2024,1992,189.29,377065.68,24
ART00243,MAG014,SUP036,LE002,PO3434675,03/07/2023,01/09/2023,1985,7.78,15443.3,60
ART00769,MAG019,SUP050,LE003,PO7901361,05/06/2024,06/07/2024,948,25.86,24515.28,31
ART00216,MAG009,SUP069,LE002,PO6989451,27/01/2024,20/03/2024,1257,6620.49,8321955.93,53
ART00116,MAG018,SUP059,LE003,PO3218875,28/12/2023,05/02/2024,618,117.11,72373.98,39
ART00684,MAG005,SUP011,LE001,PO8061413,22/08/2023,12/10/2023,168,185.09,31095.12,51
ART00153,MAG014,SUP079,LE002,PO7530709,03/10/2024,16/10/2024,1721,26.31,45279.51,13
ART00513,MAG012,SUP061,LE002,PO4748132,02/02/2023,11/03/2023,1690,13.27,22426.3,37
ART00766,MAG015,SUP072,LE002,PO9407452,05/12/2024,22/01/2025,1466,212.99,312243.34,48
ART00500,MAG008,SUP013,LE001,PO5437286,02/12/2024,09/12/2024,424,202.79,85982.96,7
ART00607,MAG008,SUP008,LE001,PO2981557,27/10/2023,18/12/2023,1019,160.58,163631.02,52
ART00055,MAG014,SUP068,LE002,PO4147295,22/07/2021,15/09/2021,242,267.1,64638.2,55
ART00308,MAG003,SUP059,LE001,PO2368545,03/02/2021,26/02/2021,668,111.7,74615.6,23
ART00775,MAG014,SUP080,LE002,PO7767368,30/11/2021,,64,29.61,1895.04,
ART00540,MAG016,SUP018,LE003,PO5120432,06/03/2021,14/04/2021,1590,21.41,34041.9,39
ART00629,MAG016,SUP069,LE003,PO9025100,29/04/2023,20/06/2023,1841,7424.67,13668817.47,52
ART00170,MAG018,SUP017,LE003,PO2164513,12/06/2022,09/07/2022,1614,3.27,5277.78,27
ART00934,MAG001,SUP067,LE001,PO8259721,26/10/2024,23/11/2024,1454,79.72,115912.88,29
ART00111,MAG010,SUP039,LE002,PO7930620,31/08/2023,21/09/2023,883,134.96,119169.68,21
ART00564,MAG014,SUP018,LE002,PO9329142,27/11/2022,21/01/2023,1624,15.93,25870.32,55
ART00615,MAG012,SUP003,LE002,PO5619980,28/04/2021,14/05/2021,1841,101.44,186751.04,16
ART00775,MAG011,SUP071,LE002,PO7228914,03/11/2023,15/11/2023,569,24.47,13923.43,12
ART00610,MAG003,SUP051,LE001,PO1818807,14/05/2024,09/07/2024,451,85.58,38596.58,56
ART00991,MAG002,SUP026,LE001,PO5251220,26/06/2023,18/07/2023,489,229.29,112122.81,22
ART00874,MAG006,SUP047,LE001,PO8909731,22/12/2021,07/01/2022,7,508.23,3557.61,16
ART00567,MAG001,SUP002,LE001,PO2762039,26/10/2022,,599,234.44,140429.56,
ART00230,MAG009,SUP044,LE002,PO9984221,18/10/2024,10/12/2024,1514,266.42,403359.88,53
ART00528,MAG015,SUP079,LE002,PO4924596,27/02/2024,25/04/2024,1807,16.87,30484.09,58
ART00738,MAG011,SUP044,LE002,PO8209097,29/05/2021,16/07/2021,998,147.59,147294.82,48
ART00674,MAG017,SUP058,LE003,PO8947225,15/02/2022,04/03/2022,749,58.74,43996.26,17
ART00547,MAG009,SUP046,LE002,PO3850273,05/05/2024,11/06/2024,640,252.48,161587.2,37
ART00205,MAG012,SUP027,LE002,PO4683770,20/06/2024,01/08/2024,1274,7.6,9682.4,42
ART00354,MAG002,SUP033,LE001,PO5406852,11/06/2021,06/07/2021,1190,260.88,310447.2,25
ART00217,MAG012,SUP023,LE002,PO2664655,12/10/2022,26/11/2022,122,294.78,35963.16,45
ART00545,MAG013,SUP050,LE002,PO3558696,16/12/2024,10/02/2025,1528,35.89,54839.92,56
ART00232,MAG009,SUP079,LE002,PO5886737,22/02/2022,10/03/2022,1841,3.45,6351.45,16
ART00266,MAG010,SUP061,LE002,PO9880599,15/01/2024,10/02/2024,1789,518.48,927560.72,26
ART00732,MAG002,SUP036,LE001,PO5940079,04/11/2023,02/01/2024,732,488.39,357501.48,59
ART00453,MAG007,SUP016,LE001,PO3526186,15/02/2023,05/04/2023,957,4872.55,4663030.35,48
ART00744,MAG017,SUP038,LE003,PO5299757,09/02/2024,12/02/2024,1817,198.57,360801.69,3
ART00704,MAG007,SUP030,LE001,PO9334664,11/11/2021,15/12/2021,336,19.29,6481.44,34
ART00383,MAG001,SUP017,LE001,PO6860833,18/01/2021,,1664,112.47,187150.08,
ART00209,MAG004,SUP008,LE001,PO2063545,11/01/2021,19/02/2021,812,666.48,541181.76,39
ART00010,MAG003,SUP004,LE001,PO4044619,01/10/2022,20/11/2022,67,259.22,17367.74,50
ART00923,MAG007,SUP017,LE001,PO8700482,08/02/2024,,301,193.82,58339.82,
ART00505,MAG007,SUP006,LE001,PO7054353,06/09/2022,18/10/2022,335,632.57,211910.95,42
ART00273,MAG006,SUP003,LE001,PO9057317,05/01/2021,02/02/2021,280,134.39,37629.2,28
ART00367,MAG008,SUP062,LE001,PO8108410,30/05/2021,19/07/2021,333,444.18,147911.94,50
ART00595,MAG013,SUP005,LE002,PO2099493,27/07/2021,,841,363.58,305770.78,
ART00245,MAG018,SUP040,LE003,PO6729189,18/09/2022,05/11/2022,879,432.3,379991.7,49
ART00066,MAG020,SUP001,LE003,PO4713933,12/04/2023,24/04/2023,139,48.83,6787.37,12
ART00661,MAG008,SUP076,LE001,PO2415776,27/02/2021,31/03/2021,719,33.62,24172.78,32
ART00884,MAG017,SUP012,LE003,PO3868529,17/12/2022,18/01/2023,655,401.81,263185.55,32
ART00525,MAG016,SUP060,LE003,PO8278526,10/03/2023,,1686,30.36,51186.96,
ART00606,MAG005,SUP042,LE001,PO2366349,26/10/2022,12/12/2022,1188,18.86,22405.68,47
ART00612,MAG019,SUP064,LE003,PO6463689,17/10/2024,29/11/2024,249,189.63,47217.87,43
ART00780,MAG018,SUP038,LE003,PO3647705,27/06/2022,,1967,74.51,146561.17,
ART00664,MAG008,SUP080,LE001,PO2446192,06/11/2021,12/11/2021,38,22.12,840.56,6
ART00258,MAG008,SUP048,LE001,PO8343188,17/08/2021,16/10/2021,802,28.81,23105.62,60
ART00853,MAG019,SUP043,LE003,PO4518716,08/02/2022,,582,20.97,12204.54,
ART00235,MAG014,SUP001,LE002,PO7530812,28/08/2022,18/10/2022,657,27.68,18185.76,51
ART00455,MAG018,SUP065,LE003,PO9055181,09/01/2021,16/01/2021,1861,325.34,605457.74,7
ART00577,MAG013,SUP048,LE002,PO4900380,17/02/2024,15/03/2024,1596,35.45,56578.2,27
ART00096,MAG016,SUP057,LE003,PO2376778,16/05/2024,31/05/2024,845,27.21,22992.45,15
ART00486,MAG007,SUP052,LE001,PO3278204,13/05/2024,23/05/2024,470,612.04,287658.8,10
ART00552,MAG019,SUP066,LE003,PO1298661,07/10/2021,15/10/2021,661,51.22,33856.42,8
ART00182,MAG001,SUP071,LE001,PO1215302,21/11/2023,12/12/2023,242,155.05,37522.1,21
ART00185,MAG008,SUP065,LE001,PO3685424,18/02/2024,18/04/2024,1589,235.51,374225.39,60
ART00995,MAG002,SUP003,LE001,PO2592192,17/03/2024,23/04/2024,1406,119.61,168171.66,37
ART00823,MAG015,SUP071,LE002,PO1593499,22/03/2023,04/05/2023,1495,21.9,32740.5,43
ART00166,MAG002,SUP021,LE001,PO8443421,20/07/2021,13/09/2021,374,43,16082,55
ART00809,MAG020,SUP025,LE003,PO4828589,05/03/2024,16/04/2024,1871,131.91,246803.61,42
ART00966,MAG007,SUP014,LE001,PO7454934,18/01/2023,09/02/2023,203,51.79,10513.37,22
ART00704,MAG020,SUP030,LE003,PO6996267,09/04/2023,16/05/2023,157,18.68,2932.76,37
ART00338,MAG015,SUP019,LE002,PO1837431,09/01/2022,,1657,36.28,60115.96,
ART00415,MAG005,SUP074,LE001,PO8373863,27/10/2023,20/11/2023,1462,184.15,269227.3,24
ART00889,MAG017,SUP065,LE003,PO8528821,03/11/2021,14/11/2021,932,1661.01,1548061.32,11
ART00983,MAG010,SUP072,LE002,PO5181765,30/05/2024,13/07/2024,1412,1796.09,2536079.08,44
ART00273,MAG005,SUP009,LE001,PO4928898,14/12/2022,02/02/2023,963,127.49,122772.87,50
ART00676,MAG018,SUP012,LE003,PO1082258,30/05/2022,27/07/2022,178,298.28,53093.84,58
ART00499,MAG019,SUP061,LE003,PO6619376,12/09/2024,20/10/2024,1761,11.61,20445.21,38
ART00873,MAG014,SUP029,LE002,PO8984032,23/11/2024,18/12/2024,426,227.06,96727.56,25
ART00746,MAG004,SUP071,LE001,PO7772397,20/05/2022,07/06/2022,1650,15.78,26037,18
ART00686,MAG006,SUP022,LE001,PO4480471,23/01/2024,02/03/2024,330,2039.11,672906.3,39
ART00866,MAG017,SUP067,LE003,PO3200638,23/03/2021,28/04/2021,1803,56.83,102464.49,36
ART00648,MAG009,SUP015,LE002,PO1499865,07/02/2023,17/03/2023,1252,20.78,26016.56,38
ART00431,MAG011,SUP074,LE002,PO7252152,24/09/2021,10/10/2021,1019,17.44,17771.36,16
ART00278,MAG004,SUP042,LE001,PO8995651,14/09/2023,06/10/2023,323,22.98,7422.54,22
ART00085,MAG019,SUP065,LE003,PO5003054,25/01/2024,13/02/2024,111,88.18,9787.98,19
ART00808,MAG005,SUP080,LE001,PO7754831,06/03/2023,26/03/2023,501,350.53,175615.53,20
ART00704,MAG016,SUP042,LE003,PO7451182,18/12/2023,09/01/2024,1834,16.42,30114.28,22
ART00994,MAG002,SUP048,LE001,PO7652664,19/04/2022,16/05/2022,1346,58.25,78404.5,27
ART00574,MAG004,SUP005,LE001,PO6663871,01/10/2021,,774,399.44,309166.56,
ART00784,MAG010,SUP042,LE002,PO4931786,28/11/2021,12/01/2022,95,9.39,892.05,45
ART00193,MAG003,SUP017,LE001,PO7082937,19/01/2023,16/03/2023,27,150.41,4061.07,56
ART00191,MAG008,SUP046,LE001,PO3333859,15/05/2023,02/06/2023,1219,638.34,778136.46,18
ART00353,MAG012,SUP002,LE002,PO5440026,26/09/2022,22/10/2022,187,12.8,2393.6,26
ART00535,MAG018,SUP072,LE003,PO4161889,14/11/2024,,1164,519.81,605058.84,
ART00065,MAG013,SUP072,LE002,PO9985437,28/08/2024,21/09/2024,467,2467.83,1152476.61,24
ART00746,MAG019,SUP079,LE003,PO7601333,05/10/2022,04/12/2022,1335,14.15,18890.25,60
ART00246,MAG015,SUP041,LE002,PO2983538,04/10/2022,,385,7.06,2718.1,
ART00992,MAG010,SUP015,LE002,PO6878117,22/10/2023,30/10/2023,1079,283.94,306371.26,8
ART00166,MAG013,SUP065,LE002,PO4677920,03/02/2022,,918,46.6,42778.8,
ART00578,MAG003,SUP028,LE001,PO4081698,21/08/2023,05/09/2023,754,794.85,599316.9,15
ART00455,MAG009,SUP068,LE002,PO3179394,16/05/2023,19/05/2023,548,375.03,205516.44,3
ART00058,MAG010,SUP022,LE002,PO6731284,31/03/2023,23/04/2023,1576,1085.01,1709975.76,23
ART00189,MAG002,SUP024,LE001,PO2979974,02/07/2023,04/08/2023,70,181.69,12718.3,33
ART00056,MAG012,SUP076,LE002,PO2413346,29/09/2024,27/11/2024,1398,31.3,43757.4,59
ART00954,MAG005,SUP063,LE001,PO6045946,17/10/2021,03/12/2021,607,23.5,14264.5,47
ART00006,MAG009,SUP003,LE002,PO1068550,23/05/2024,05/06/2024,45,84.29,3793.05,13
ART00101,MAG018,SUP032,LE003,PO2693183,24/04/2022,29/04/2022,1714,64.69,110878.66,5
ART00007,MAG010,SUP071,LE002,PO2756214,03/12/2021,03/01/2022,401,141.24,56637.24,31
ART00219,MAG004,SUP014,LE001,PO6697796,19/12/2023,20/01/2024,985,738.95,727865.75,32
ART00839,MAG017,SUP073,LE003,PO2974444,13/04/2022,,1899,32.74,62173.26,
ART00014,MAG013,SUP016,LE002,PO9345268,04/12/2022,03/01/2023,1060,74.24,78694.4,30
ART00922,MAG005,SUP041,LE001,PO5864049,05/11/2022,23/11/2022,1543,11.09,17111.87,18
ART00929,MAG014,SUP051,LE002,PO8371191,12/11/2024,07/12/2024,462,434.99,200965.38,25
ART00401,MAG017,SUP047,LE003,PO8874375,14/02/2024,,134,4822.4,646201.6,
ART00529,MAG018,SUP007,LE003,PO8996724,03/09/2021,13/10/2021,1140,403.14,459579.6,40
ART00711,MAG002,SUP016,LE001,PO5719176,20/01/2023,23/01/2023,1857,8266.17,15350277.69,3
ART00352,MAG007,SUP064,LE001,PO4511910,05/02/2024,01/04/2024,155,445.34,69027.7,56
ART00402,MAG017,SUP022,LE003,PO2700650,17/12/2024,02/01/2025,1922,1769.16,3400325.52,16
ART00187,MAG018,SUP059,LE003,PO9109962,02/01/2023,16/02/2023,1374,222.51,305728.74,45
ART00095,MAG019,SUP022,LE003,PO9729762,14/03/2023,01/05/2023,1317,1117.1,1471220.7,48
ART00073,MAG014,SUP045,LE002,PO1925657,09/09/2024,02/10/2024,1639,7.48,12259.72,23
ART00049,MAG003,SUP003,LE001,PO5620987,23/07/2024,26/07/2024,435,103.48,45013.8,3
ART00676,MAG008,SUP078,LE001,PO3480952,04/12/2022,05/01/2023,247,292.29,72195.63,32
ART00349,MAG016,SUP036,LE003,PO5489582,20/07/2023,30/07/2023,1673,238.61,399194.53,10
ART00263,MAG005,SUP003,LE001,PO3990952,08/03/2023,,1191,61.62,73389.42,
ART00892,MAG018,SUP047,LE003,PO9329533,07/07/2021,25/07/2021,1687,315.61,532434.07,18
ART00876,MAG004,SUP029,LE001,PO5233360,15/09/2023,14/11/2023,93,311.33,28953.69,60
ART00257,MAG020,SUP034,LE003,PO9100284,02/10/2023,22/10/2023,420,1326.59,557167.8,20
ART00246,MAG014,SUP027,LE002,PO7934519,07/12/2022,23/01/2023,137,6.65,911.05,47
ART00769,MAG016,SUP027,LE003,PO8900380,22/08/2024,25/09/2024,600,27.15,16290,34
ART00524,MAG001,SUP057,LE001,PO3875191,28/10/2023,,40,29.28,1171.2,
ART00410,MAG014,SUP073,LE002,PO6056156,04/11/2023,06/12/2023,1859,29.39,54636.01,32
ART00484,MAG015,SUP020,LE002,PO7169179,15/09/2022,28/10/2022,1348,214.51,289159.48,43
ART00507,MAG003,SUP065,LE001,PO9203578,20/08/2021,13/10/2021,113,550.65,62223.45,54
ART00248,MAG010,SUP027,LE002,PO8417930,24/02/2023,20/03/2023,1052,11.01,11582.52,24
ART00838,MAG004,SUP069,LE001,PO9691389,01/07/2022,20/07/2022,1333,7932.26,10573702.58,19
ART00974,MAG006,SUP048,LE001,PO7694239,21/06/2024,30/07/2024,1862,188.49,350968.38,39
ART00713,MAG014,SUP023,LE002,PO4883653,29/11/2024,03/12/2024,1467,509.4,747289.8,4
ART00593,MAG018,SUP007,LE003,PO5558180,27/05/2023,06/07/2023,1108,9.95,11024.6,40
ART00868,MAG011,SUP007,LE002,PO3189847,17/07/2024,,530,1003.68,531950.4,
ART00923,MAG019,SUP038,LE003,PO4558385,29/06/2024,08/07/2024,1611,146,235206,9
ART00530,MAG018,SUP066,LE003,PO5900620,11/10/2022,08/11/2022,1611,1488.03,2397216.33,28
ART00228,MAG005,SUP024,LE001,PO3921806,04/11/2023,24/12/2023,498,49.41,24606.18,50
ART00467,MAG002,SUP017,LE001,PO8157328,23/09/2021,31/10/2021,1952,39.26,76635.52,38
ART00169,MAG017,SUP028,LE003,PO8385070,23/08/2023,02/09/2023,290,293.65,85158.5,10
ART00255,MAG014,SUP045,LE002,PO9633502,12/10/2023,22/11/2023,1696,9.62,16315.52,41
ART00795,MAG008,SUP041,LE001,PO2370572,17/03/2024,23/04/2024,1247,23.95,29865.65,37
ART00813,MAG003,SUP062,LE001,PO9756333,12/09/2022,26/10/2022,512,56.8,29081.6,44
ART00320,MAG006,SUP071,LE001,PO4960406,15/12/2024,30/12/2024,333,21.1,7026.3,15
ART00121,MAG019,SUP030,LE003,PO9546344,16/05/2022,24/06/2022,739,74.82,55291.98,39
ART00621,MAG001,SUP072,LE001,PO8371284,08/12/2022,31/12/2022,681,1518.77,1034282.37,23
ART00839,MAG010,SUP073,LE002,PO8403330,15/04/2024,18/05/2024,209,37.73,7885.57,33
ART00298,MAG003,SUP050,LE001,PO9883553,26/06/2022,04/07/2022,50,14.57,728.5,8
ART00091,MAG010,SUP063,LE002,PO4416728,08/10/2021,04/12/2021,381,62.34,23751.54,58
ART00509,MAG002,SUP055,LE001,PO7427432,26/07/2022,,1080,263.48,284558.4,
ART00856,MAG010,SUP007,LE002,PO9028518,06/01/2024,01/02/2024,1982,113.84,225630.88,26
ART00808,MAG002,SUP037,LE001,PO2279613,01/05/2021,27/06/2021,841,462.44,388912.04,57
ART00542,MAG014,SUP018,LE002,PO8126790,03/02/2022,05/03/2022,789,30.04,23701.56,30
ART00354,MAG013,SUP021,LE002,PO9573327,24/06/2022,19/07/2022,1498,223.65,335027.7,25
ART00819,MAG010,SUP025,LE002,PO1898097,30/10/2021,20/11/2021,678,216.13,146536.14,21
ART00472,MAG008,SUP076,LE001,PO7575018,28/12/2024,09/01/2025,580,24.96,14476.8,12
ART00353,MAG007,SUP048,LE001,PO6016733,04/10/2021,13/11/2021,1674,11.45,19167.3,40
ART00344,MAG011,SUP008,LE002,PO1930742,23/10/2022,17/12/2022,1681,85.41,143574.21,55
ART00796,MAG004,SUP045,LE001,PO6999031,19/02/2023,03/04/2023,1095,138.37,151515.15,43
ART00069,MAG009,SUP036,LE002,PO5335420,07/12/2021,20/01/2022,1085,378.38,410542.3,44
ART00391,MAG013,SUP013,LE002,PO1800846,06/02/2024,15/02/2024,440,166.17,73114.8,9
ART00088,MAG012,SUP048,LE002,PO5328058,30/08/2023,06/09/2023,121,47.34,5728.14,7
ART00997,MAG002,SUP050,LE001,PO1986312,16/01/2023,31/01/2023,1231,68.11,83843.41,15
ART00376,MAG004,SUP079,LE001,PO4166084,19/05/2023,,1743,27.83,48507.69,
ART00679,MAG003,SUP057,LE001,PO2046019,03/04/2021,29/04/2021,1432,32.85,47041.2,26
ART00937,MAG001,SUP048,LE001,PO9981897,19/07/2023,13/08/2023,217,67.94,14742.98,25
ART00125,MAG017,SUP014,LE003,PO3692729,16/11/2023,30/12/2023,590,368.36,217332.4,44
ART00703,MAG002,SUP002,LE001,PO4674777,02/06/2024,22/07/2024,1247,9.05,11285.35,50
ART00461,MAG014,SUP007,LE002,PO1212755,17/04/2023,21/05/2023,367,34.76,12756.92,34
ART00828,MAG002,SUP064,LE001,PO6241267,28/01/2021,07/03/2021,599,359.59,215394.41,38
ART00958,MAG003,SUP010,LE001,PO6201131,06/12/2021,19/12/2021,1644,367.4,604005.6,13
ART00559,MAG017,SUP002,LE003,PO3497159,20/04/2024,,1452,1.15,1669.8,
ART00908,MAG015,SUP079,LE002,PO3258691,11/08/2024,28/09/2024,1814,136.78,248118.92,48
ART00925,MAG010,SUP076,LE002,PO2394204,28/11/2023,24/01/2024,1539,5.85,9003.15,57
ART00734,MAG002,SUP036,LE001,PO9479194,25/06/2023,08/08/2023,430,164.88,70898.4,44
ART00862,MAG004,SUP062,LE001,PO2384675,09/01/2022,18/02/2022,1371,107.08,146806.68,40
ART00751,MAG007,SUP006,LE001,PO7804609,23/07/2023,22/08/2023,1873,419.67,786041.91,30
ART00692,MAG020,SUP073,LE003,PO2536908,12/12/2024,14/01/2025,1510,39.99,60384.9,33
ART00051,MAG002,SUP010,LE001,PO3576688,14/01/2022,26/02/2022,230,505.35,116230.5,43
ART00170,MAG014,SUP048,LE002,PO4354942,18/02/2023,06/04/2023,1287,4.41,5675.67,47
ART00994,MAG010,SUP036,LE002,PO5862955,25/04/2023,18/06/2023,1923,58.07,111668.61,54
ART00300,MAG004,SUP034,LE001,PO7505387,17/10/2021,02/12/2021,1850,87.07,161079.5,46
ART00194,MAG006,SUP041,LE001,PO7385238,10/11/2024,02/01/2025,426,26.48,11280.48,53
ART00676,MAG001,SUP024,LE001,PO5904643,24/10/2021,30/10/2021,987,280.37,276725.19,6
ART00721,MAG004,SUP033,LE001,PO3128853,09/01/2022,20/01/2022,1522,20.11,30607.42,11
ART00743,MAG005,SUP064,LE001,PO2869597,31/05/2023,29/07/2023,1575,560.49,882771.75,59
ART00307,MAG019,SUP003,LE003,PO8960594,17/09/2024,25/10/2024,449,111.34,49991.66,38
ART00606,MAG014,SUP002,LE002,PO3284917,12/03/2022,27/04/2022,133,19.1,2540.3,46
ART00077,MAG004,SUP036,LE001,PO7833620,10/03/2024,29/03/2024,429,323.47,138768.63,19
ART00326,MAG013,SUP028,LE002,PO5990082,11/02/2024,,299,8098.75,2421526.25,
ART00574,MAG012,SUP010,LE002,PO5407395,12/11/2024,23/11/2024,858,490.38,420746.04,11
ART00081,MAG003,SUP062,LE001,PO3839250,07/12/2022,19/01/2023,736,8292.67,6103405.12,43
ART00132,MAG020,SUP056,LE003,PO1160783,20/04/2021,02/05/2021,1741,450.64,784564.24,12
ART00870,MAG002,SUP052,LE001,PO1137116,23/09/2024,03/10/2024,1278,188.48,240877.44,10
ART00995,MAG014,SUP039,LE002,PO7326435,12/05/2021,08/07/2021,1553,125.85,195445.05,57
ART00682,MAG003,SUP076,LE001,PO6403862,08/01/2021,03/03/2021,1789,18.23,32613.47,54
ART00388,MAG014,SUP049,LE002,PO7224594,13/09/2021,30/10/2021,183,76.33,13968.39,47
ART00171,MAG008,SUP051,LE001,PO5672341,22/01/2021,11/02/2021,608,372.88,226711.04,20
ART00944,MAG004,SUP060,LE001,PO7824429,07/07/2022,13/07/2022,1104,19.04,21020.16,6
ART00985,MAG014,SUP039,LE002,PO4770603,13/11/2022,02/12/2022,1992,334.56,666443.52,19
ART00440,MAG005,SUP072,LE001,PO1611046,28/09/2021,,1468,1036.15,1521068.2,
ART00681,MAG012,SUP041,LE002,PO6292910,27/07/2023,,498,26.29,13092.42,
ART00056,MAG016,SUP027,LE003,PO6086276,05/09/2021,16/10/2021,1205,43.17,52019.85,41
ART00417,MAG013,SUP077,LE002,PO5212340,09/08/2022,11/09/2022,621,57.24,35546.04,33
ART00347,MAG004,SUP076,LE001,PO9481388,26/02/2022,13/03/2022,856,85.53,73213.68,15
ART00308,MAG017,SUP032,LE003,PO8338128,02/05/2024,17/06/2024,715,144.49,103310.35,46
ART00863,MAG019,SUP053,LE003,PO4509829,01/04/2023,03/05/2023,263,32.31,8497.53,32
ART00298,MAG013,SUP034,LE002,PO4070849,04/09/2023,29/10/2023,503,15.95,8022.85,55
ART00515,MAG005,SUP030,LE001,PO6238141,08/09/2021,14/09/2021,766,40.54,31053.64,6
ART00598,MAG012,SUP075,LE002,PO9158589,30/03/2023,,129,16.78,2164.62,
ART00774,MAG004,SUP060,LE001,PO6403156,02/12/2021,06/01/2022,96,32.17,3088.32,35
ART00011,MAG018,SUP008,LE003,PO6407205,22/08/2023,30/08/2023,1149,147.24,169178.76,8
ART00973,MAG005,SUP078,LE001,PO7753614,25/12/2023,16/01/2024,1561,199.92,312075.12,22
ART00159,MAG019,SUP040,LE003,PO3547822,03/06/2021,03/07/2021,384,669.71,257168.64,30
ART00161,MAG006,SUP078,LE001,PO5244311,11/03/2023,18/04/2023,1770,147.48,261039.6,38
ART00010,MAG008,SUP068,LE001,PO4714674,04/04/2022,28/04/2022,1982,287.06,568952.92,24
ART00846,MAG013,SUP078,LE002,PO8160919,19/09/2021,28/09/2021,1446,251.44,363582.24,9
ART00481,MAG011,SUP037,LE002,PO3236427,13/12/2021,11/01/2022,1705,244.21,416378.05,29
ART00342,MAG016,SUP023,LE003,PO1503593,18/02/2021,,570,227.3,129561,
ART00678,MAG010,SUP037,LE002,PO7694101,13/10/2024,06/11/2024,1705,36,61380,24
ART00478,MAG011,SUP051,LE002,PO8207487,22/12/2021,26/01/2022,1474,600.55,885210.7,35
ART00194,MAG004,SUP006,LE001,PO7448717,21/10/2021,13/12/2021,831,27.51,22860.81,53
ART00800,MAG019,SUP053,LE003,PO2028318,21/05/2021,21/06/2021,51,26.28,1340.28,31
ART00271,MAG013,SUP064,LE002,PO2091802,31/07/2024,01/09/2024,1776,431.08,765598.08,32
