MATNR,LGORT_ID,LIEF_ID,LEGAL_ENTITY,EBELN,BEDAT,EINDT,QTY,PREZZO_UN,VALORE_TOT,LEAD_TIME_GG
ART00116,MAG018,SUP059,LE003,PO3218875,20231228,20240205,618,117.11,72373.98,39
ART00684,MAG005,SUP011,LE001,PO8061413,20230822,20231012,168,185.09,31095.12,51
ART00153,MAG014,SUP079,LE002,PO7530709,20241003,20241016,1721,26.31,45279.51,13
ART00513,MAG012,SUP061,LE002,PO4748132,20230202,20230311,1690,13.27,22426.3,37
ART00766,MAG015,SUP072,LE002,PO9407452,20241205,20250122,1466,212.99,312243.34,48
ART00500,MAG008,SUP013,LE001,PO5437286,20241202,20241209,424,202.79,85982.96,7
ART00607,MAG008,SUP008,LE001,PO2981557,20231027,20231218,1019,160.58,163631.02,52
ART00055,MAG014,SUP068,LE002,PO4147295,20210722,20210915,242,267.1,64638.2,55
ART00308,MAG003,SUP059,LE001,PO2368545,20210203,20210226,668,111.7,74615.6,23
ART00775,MAG014,SUP080,LE002,PO7767368,20211130,,64,29.61,1895.04,
ART00540,MAG016,SUP018,LE003,PO5120432,20210306,20210414,1590,21.41,34041.9,39
ART00629,MAG016,SUP069,LE003,PO9025100,20230429,20230620,1841,7424.67,13668817.47,52
ART00170,MAG018,SUP017,LE003,PO2164513,20220612,20220709,1614,3.27,5277.78,27
ART00934,MAG001,SUP067,LE001,PO8259721,20241026,20241123,1454,79.72,115912.88,29
ART00111,MAG010,SUP039,LE002,PO7930620,20230831,20230921,883,134.96,119169.68,21
ART00564,MAG014,SUP018,LE002,PO9329142,20221127,20230121,1624,15.93,25870.32,55
ART00615,MAG012,SUP003,LE002,PO5619980,20210428,20210514,1841,101.44,186751.04,16
ART00775,MAG011,SUP071,LE002,PO7228914,20231103,20231115,569,24.47,13923.43,12
ART00610,MAG003,SUP051,LE001,PO1818807,20240514,20240709,451,85.58,38596.58,56
ART00991,MAG002,SUP026,LE001,PO5251220,20230626,20230718,489,229.29,112122.81,22
ART00874,MAG006,SUP047,LE001,PO8909731,20211222,20220107,7,508.23,3557.61,16
ART00567,MAG001,SUP002,LE001,PO2762039,20221026,,599,234.44,140429.56,
ART00230,MAG009,SUP044,LE002,PO9984221,20241018,20241210,1514,266.42,403359.88,53
ART00528,MAG015,SUP079,LE002,PO4924596,20240227,20240425,1807,16.87,30484.09,58
ART00738,MAG011,SUP044,LE002,PO8209097,20210529,20210716,998,147.59,147294.82,48
ART00674,MAG017,SUP058,LE003,PO8947225,20220215,20220304,749,58.74,43996.26,17
ART00547,MAG009,SUP046,LE002,PO3850273,20240505,20240611,640,252.48,161587.2,37
ART00205,MAG012,SUP027,LE002,PO4683770,20240620,20240801,1274,7.6,9682.4,42
ART00354,MAG002,SUP033,LE001,PO5406852,20210611,20210706,1190,260.88,310447.2,25
ART00217,MAG012,SUP023,LE002,PO2664655,20221012,20221126,122,294.78,35963.16,45
ART00545,MAG013,SUP050,LE002,PO3558696,20241216,20250210,1528,35.89,54839.92,56
ART00232,MAG009,SUP079,LE002,PO5886737,20220222,20220310,1841,3.45,6351.45,16
ART00266,MAG010,SUP061,LE002,PO9880599,20240115,20240210,1789,518.48,927560.72,26
ART00732,MAG002,SUP036,LE001,PO5940079,20231104,20240102,732,488.39,357501.48,59
ART00453,MAG007,SUP016,LE001,PO3526186,20230215,20230405,957,4872.55,4663030.35,48
ART00744,MAG017,SUP038,LE003,PO5299757,20240209,20240212,1817,198.57,360801.69,3
ART00704,MAG007,SUP030,LE001,PO9334664,20211111,20211215,336,19.29,6481.44,34
ART00383,MAG001,SUP017,LE001,PO6860833,20210118,,1664,112.47,187150.08,
ART00209,MAG004,SUP008,LE001,PO2063545,20210111,20210219,812,666.48,541181.76,39
ART00010,MAG003,SUP004,LE001,PO4044619,20221001,20221120,67,259.22,17367.74,50
ART00923,MAG007,SUP017,LE001,PO8700482,20240208,,301,193.82,58339.82,
ART00505,MAG007,SUP006,LE001,PO7054353,20220906,20221018,335,632.57,211910.95,42
ART00273,MAG006,SUP003,LE001,PO9057317,20210105,20210202,280,134.39,37629.2,28
ART00367,MAG008,SUP062,LE001,PO8108410,20210530,20210719,333,444.18,147911.94,50
ART00595,MAG013,SUP005,LE002,PO2099493,20210727,,841,363.58,305770.78,
ART00245,MAG018,SUP040,LE003,PO6729189,20220918,20221105,879,432.3,379991.7,49
ART00066,MAG020,SUP001,LE003,PO4713933,20230412,20230424,139,48.83,6787.37,12
ART00661,MAG008,SUP076,LE001,PO2415776,20210227,20210331,719,33.62,24172.78,32
ART00884,MAG017,SUP012,LE003,PO3868529,20221217,20230118,655,401.81,263185.55,32
ART00525,MAG016,SUP060,LE003,PO8278526,20230310,,1686,30.36,51186.96,
ART00606,MAG005,SUP042,LE001,PO2366349,20221026,20221212,1188,18.86,22405.68,47
ART00612,MAG019,SUP064,LE003,PO6463689,20241017,20241129,249,189.63,47217.87,43
ART00780,MAG018,SUP038,LE003,PO3647705,20220627,,1967,74.51,146561.17,
ART00664,MAG008,SUP080,LE001,PO2446192,20211106,20211112,38,22.12,840.56,6
ART00258,MAG008,SUP048,LE001,PO8343188,20210817,20211016,802,28.81,23105.62,60
ART00853,MAG019,SUP043,LE003,PO4518716,20220208,,582,20.97,12204.54,
ART00235,MAG014,SUP001,LE002,PO7530812,20220828,20221018,657,27.68,18185.76,51
ART00455,MAG018,SUP065,LE003,PO9055181,20210109,20210116,1861,325.34,605457.74,7
ART00577,MAG013,SUP048,LE002,PO4900380,20240217,20240315,1596,35.45,56578.2,27
ART00096,MAG016,SUP057,LE003,PO2376778,20240516,20240531,845,27.21,22992.45,15
ART00486,MAG007,SUP052,LE001,PO3278204,20240513,20240523,470,612.04,287658.8,10
ART00552,MAG019,SUP066,LE003,PO1298661,20211007,20211015,661,51.22,33856.42,8
ART00182,MAG001,SUP071,LE001,PO1215302,20231121,20231212,242,155.05,37522.1,21
ART00185,MAG008,SUP065,LE001,PO3685424,20240218,20240418,1589,235.51,374225.39,60
ART00995,MAG002,SUP003,LE001,PO2592192,20240317,20240423,1406,119.61,168171.66,37
ART00823,MAG015,SUP071,LE002,PO1593499,20230322,20230504,1495,21.9,32740.5,43
ART00166,MAG002,SUP021,LE001,PO8443421,20210720,20210913,374,43,16082,55
ART00809,MAG020,SUP025,LE003,PO4828589,20240305,20240416,1871,131.91,246803.61,42
ART00966,MAG007,SUP014,LE001,PO7454934,20230118,20230209,203,51.79,10513.37,22
ART00704,MAG020,SUP030,LE003,PO6996267,20230409,20230516,157,18.68,2932.76,37
ART00338,MAG015,SUP019,LE002,PO1837431,20220109,,1657,36.28,60115.96,
ART00415,MAG005,SUP074,LE001,PO8373863,20231027,20231120,1462,184.15,269227.3,24
ART00889,MAG017,SUP065,LE003,PO8528821,20211103,20211114,932,1661.01,1548061.32,11
ART00983,MAG010,SUP072,LE002,PO5181765,20240530,20240713,1412,1796.09,2536079.08,44
ART00273,MAG005,SUP009,LE001,PO4928898,20221214,20230202,963,127.49,122772.87,50
ART00676,MAG018,SUP012,LE003,PO1082258,20220530,20220727,178,298.28,53093.84,58
ART00499,MAG019,SUP061,LE003,PO6619376,20240912,20241020,1761,11.61,20445.21,38
ART00873,MAG014,SUP029,LE002,PO8984032,20241123,20241218,426,227.06,96727.56,25
ART00746,MAG004,SUP071,LE001,PO7772397,20220520,20220607,1650,15.78,26037,18
ART00686,MAG006,SUP022,LE001,PO4480471,20240123,20240302,330,2039.11,672906.3,39
ART00866,MAG017,SUP067,LE003,PO3200638,20210323,20210428,1803,56.83,102464.49,36
ART00648,MAG009,SUP015,LE002,PO1499865,20230207,20230317,1252,20.78,26016.56,38
ART00431,MAG011,SUP074,LE002,PO7252152,20210924,20211010,1019,17.44,17771.36,16
ART00278,MAG004,SUP042,LE001,PO8995651,20230914,20231006,323,22.98,7422.54,22
ART00085,MAG019,SUP065,LE003,PO5003054,20240125,20240213,111,88.18,9787.98,19
ART00808,MAG005,SUP080,LE001,PO7754831,20230306,20230326,501,350.53,175615.53,20
ART00704,MAG016,SUP042,LE003,PO7451182,20231218,20240109,1834,16.42,30114.28,22
ART00994,MAG002,SUP048,LE001,PO7652664,20220419,20220516,1346,58.25,78404.5,27
ART00574,MAG004,SUP005,LE001,PO6663871,20211001,,774,399.44,309166.56,
ART00784,MAG010,SUP042,LE002,PO4931786,20211128,20220112,95,9.39,892.05,45
ART00193,MAG003,SUP017,LE001,PO7082937,20230119,20230316,27,150.41,4061.07,56
ART00191,MAG008,SUP046,LE001,PO3333859,20230515,20230602,1219,638.34,778136.46,18
ART00353,MAG012,SUP002,LE002,PO5440026,20220926,20221022,187,12.8,2393.6,26
ART00535,MAG018,SUP072,LE003,PO4161889,20241114,,1164,519.81,605058.84,
ART00065,MAG013,SUP072,LE002,PO9985437,20240828,20240921,467,2467.83,1152476.61,24
ART00746,MAG019,SUP079,LE003,PO7601333,20221005,20221204,1335,14.15,18890.25,60
ART00246,MAG015,SUP041,LE002,PO2983538,20221004,,385,7.06,2718.1,
ART00992,MAG010,SUP015,LE002,PO6878117,20231022,20231030,1079,283.94,306371.26,8
ART00166,MAG013,SUP065,LE002,PO4677920,20220203,,918,46.6,42778.8,
ART00578,MAG003,SUP028,LE001,PO4081698,20230821,20230905,754,794.85,599316.9,15
ART00455,MAG009,SUP068,LE002,PO3179394,20230516,20230519,548,375.03,205516.44,3
ART00058,MAG010,SUP022,LE002,PO6731284,20230331,20230423,1576,1085.01,1709975.76,23
ART00189,MAG002,SUP024,LE001,PO2979974,20230702,20230804,70,181.69,12718.3,33
ART00056,MAG012,SUP076,LE002,PO2413346,20240929,20241127,1398,31.3,43757.4,59
ART00954,MAG005,SUP063,LE001,PO6045946,20211017,20211203,607,23.5,14264.5,47
ART00006,MAG009,SUP003,LE002,PO1068550,20240523,20240605,45,84.29,3793.05,13
ART00101,MAG018,SUP032,LE003,PO2693183,20220424,20220429,1714,64.69,110878.66,5
ART00007,MAG010,SUP071,LE002,PO2756214,20211203,20220103,401,141.24,56637.24,31
ART00219,MAG004,SUP014,LE001,PO6697796,20231219,20240120,985,738.95,727865.75,32
ART00839,MAG017,SUP073,LE003,PO2974444,20220413,,1899,32.74,62173.26,
ART00014,MAG013,SUP016,LE002,PO9345268,20221204,20230103,1060,74.24,78694.4,30
ART00922,MAG005,SUP041,LE001,PO5864049,20221105,20221123,1543,11.09,17111.87,18
ART00929,MAG014,SUP051,LE002,PO8371191,20241112,20241207,462,434.99,200965.38,25
ART00401,MAG017,SUP047,LE003,PO8874375,20240214,,134,4822.4,646201.6,
ART00529,MAG018,SUP007,LE003,PO8996724,20210903,20211013,1140,403.14,459579.6,40
ART00711,MAG002,SUP016,LE001,PO5719176,20230120,20230123,1857,8266.17,15350277.69,3
ART00352,MAG007,SUP064,LE001,PO4511910,20240205,20240401,155,445.34,69027.7,56
ART00402,MAG017,SUP022,LE003,PO2700650,20241217,20250102,1922,1769.16,3400325.52,16
ART00187,MAG018,SUP059,LE003,PO9109962,20230102,20230216,1374,222.51,305728.74,45
ART00095,MAG019,SUP022,LE003,PO9729762,20230314,20230501,1317,1117.1,1471220.7,48
ART00073,MAG014,SUP045,LE002,PO1925657,20240909,20241002,1639,7.48,12259.72,23
ART00049,MAG003,SUP003,LE001,PO5620987,20240723,20240726,435,103.48,45013.8,3
ART00676,MAG008,SUP078,LE001,PO3480952,20221204,20230105,247,292.29,72195.63,32
ART00349,MAG016,SUP036,LE003,PO5489582,20230720,20230730,1673,238.61,399194.53,10
ART00263,MAG005,SUP003,LE001,PO3990952,20230308,,1191,61.62,73389.42,
ART00892,MAG018,SUP047,LE003,PO9329533,20210707,20210725,1687,315.61,532434.07,18
ART00876,MAG004,SUP029,LE001,PO5233360,20230915,20231114,93,311.33,28953.69,60
ART00257,MAG020,SUP034,LE003,PO9100284,20231002,20231022,420,1326.59,557167.8,20
ART00246,MAG014,SUP027,LE002,PO7934519,20221207,20230123,137,6.65,911.05,47
ART00769,MAG016,SUP027,LE003,PO8900380,20240822,20240925,600,27.15,16290,34
ART00524,MAG001,SUP057,LE001,PO3875191,20231028,,40,29.28,1171.2,
ART00410,MAG014,SUP073,LE002,PO6056156,20231104,20231206,1859,29.39,54636.01,32
ART00484,MAG015,SUP020,LE002,PO7169179,20220915,20221028,1348,214.51,289159.48,43
ART00507,MAG003,SUP065,LE001,PO9203578,20210820,20211013,113,550.65,62223.45,54
ART00248,MAG010,SUP027,LE002,PO8417930,20230224,20230320,1052,11.01,11582.52,24
ART00838,MAG004,SUP069,LE001,PO9691389,20220701,20220720,1333,7932.26,10573702.58,19
ART00974,MAG006,SUP048,LE001,PO7694239,20240621,20240730,1862,188.49,350968.38,39
ART00713,MAG014,SUP023,LE002,PO4883653,20241129,20241203,1467,509.4,747289.8,4
ART00593,MAG018,SUP007,LE003,PO5558180,20230527,20230706,1108,9.95,11024.6,40
ART00868,MAG011,SUP007,LE002,PO3189847,20240717,,530,1003.68,531950.4,
ART00923,MAG019,SUP038,LE003,PO4558385,20240629,20240708,1611,146,235206,9
ART00530,MAG018,SUP066,LE003,PO5900620,20221011,20221108,1611,1488.03,2397216.33,28
ART00228,MAG005,SUP024,LE001,PO3921806,20231104,20231224,498,49.41,24606.18,50
ART00467,MAG002,SUP017,LE001,PO8157328,20210923,20211031,1952,39.26,76635.52,38
ART00169,MAG017,SUP028,LE003,PO8385070,20230823,20230902,290,293.65,85158.5,10
ART00255,MAG014,SUP045,LE002,PO9633502,20231012,20231122,1696,9.62,16315.52,41
ART00795,MAG008,SUP041,LE001,PO2370572,20240317,20240423,1247,23.95,29865.65,37
ART00813,MAG003,SUP062,LE001,PO9756333,20220912,20221026,512,56.8,29081.6,44
ART00320,MAG006,SUP071,LE001,PO4960406,20241215,20241230,333,21.1,7026.3,15
ART00121,MAG019,SUP030,LE003,PO9546344,20220516,20220624,739,74.82,55291.98,39
ART00621,MAG001,SUP072,LE001,PO8371284,20221208,20221231,681,1518.77,1034282.37,23
ART00839,MAG010,SUP073,LE002,PO8403330,20240415,20240518,209,37.73,7885.57,33
ART00298,MAG003,SUP050,LE001,PO9883553,20220626,20220704,50,14.57,728.5,8
ART00091,MAG010,SUP063,LE002,PO4416728,20211008,20211204,381,62.34,23751.54,58
ART00509,MAG002,SUP055,LE001,PO7427432,20220726,,1080,263.48,284558.4,
ART00856,MAG010,SUP007,LE002,PO9028518,20240106,20240201,1982,113.84,225630.88,26
ART00808,MAG002,SUP037,LE001,PO2279613,20210501,20210627,841,462.44,388912.04,57
ART00542,MAG014,SUP018,LE002,PO8126790,20220203,20220305,789,30.04,23701.56,30
ART00354,MAG013,SUP021,LE002,PO9573327,20220624,20220719,1498,223.65,335027.7,25
ART00819,MAG010,SUP025,LE002,PO1898097,20211030,20211120,678,216.13,146536.14,21
ART00472,MAG008,SUP076,LE001,PO7575018,20241228,20250109,580,24.96,14476.8,12
ART00353,MAG007,SUP048,LE001,PO6016733,20211004,20211113,1674,11.45,19167.3,40
ART00344,MAG011,SUP008,LE002,PO1930742,20221023,20221217,1681,85.41,143574.21,55
ART00796,MAG004,SUP045,LE001,PO6999031,20230219,20230403,1095,138.37,151515.15,43
ART00069,MAG009,SUP036,LE002,PO5335420,20211207,20220120,1085,378.38,410542.3,44
ART00391,MAG013,SUP013,LE002,PO1800846,20240206,20240215,440,166.17,73114.8,9
ART00088,MAG012,SUP048,LE002,PO5328058,20230830,20230906,121,47.34,5728.14,7
ART00997,MAG002,SUP050,LE001,PO1986312,20230116,20230131,1231,68.11,83843.41,15
ART00376,MAG004,SUP079,LE001,PO4166084,20230519,,1743,27.83,48507.69,
ART00679,MAG003,SUP057,LE001,PO2046019,20210403,20210429,1432,32.85,47041.2,26
ART00937,MAG001,SUP048,LE001,PO9981897,20230719,20230813,217,67.94,14742.98,25
ART00125,MAG017,SUP014,LE003,PO3692729,20231116,20231230,590,368.36,217332.4,44
ART00703,MAG002,SUP002,LE001,PO4674777,20240602,20240722,1247,9.05,11285.35,50
ART00461,MAG014,SUP007,LE002,PO1212755,20230417,20230521,367,34.76,12756.92,34
ART00828,MAG002,SUP064,LE001,PO6241267,20210128,20210307,599,359.59,215394.41,38
ART00958,MAG003,SUP010,LE001,PO6201131,20211206,20211219,1644,367.4,604005.6,13
ART00559,MAG017,SUP002,LE003,PO3497159,20240420,,1452,1.15,1669.8,
ART00908,MAG015,SUP079,LE002,PO3258691,20240811,20240928,1814,136.78,248118.92,48
ART00925,MAG010,SUP076,LE002,PO2394204,20231128,20240124,1539,5.85,9003.15,57
ART00734,MAG002,SUP036,LE001,PO9479194,20230625,20230808,430,164.88,70898.4,44
ART00862,MAG004,SUP062,LE001,PO2384675,20220109,20220218,1371,107.08,146806.68,40
ART00751,MAG007,SUP006,LE001,PO7804609,20230723,20230822,1873,419.67,786041.91,30
ART00692,MAG020,SUP073,LE003,PO2536908,20241212,20250114,1510,39.99,60384.9,33
ART00051,MAG002,SUP010,LE001,PO3576688,20220114,20220226,230,505.35,116230.5,43
ART00170,MAG014,SUP048,LE002,PO4354942,20230218,20230406,1287,4.41,5675.67,47
ART00994,MAG010,SUP036,LE002,PO5862955,20230425,20230618,1923,58.07,111668.61,54
ART00300,MAG004,SUP034,LE001,PO7505387,20211017,20211202,1850,87.07,161079.5,46
ART00194,MAG006,SUP041,LE001,PO7385238,20241110,20250102,426,26.48,11280.48,53
ART00676,MAG001,SUP024,LE001,PO5904643,20211024,20211030,987,280.37,276725.19,6
ART00721,MAG004,SUP033,LE001,PO3128853,20220109,20220120,1522,20.11,30607.42,11
ART00743,MAG005,SUP064,LE001,PO2869597,20230531,20230729,1575,560.49,882771.75,59
ART00307,MAG019,SUP003,LE003,PO8960594,20240917,20241025,449,111.34,49991.66,38
ART00606,MAG014,SUP002,LE002,PO3284917,20220312,20220427,133,19.1,2540.3,46
ART00077,MAG004,SUP036,LE001,PO7833620,20240310,20240329,429,323.47,138768.63,19
ART00326,MAG013,SUP028,LE002,PO5990082,20240211,,299,8098.75,2421526.25,
ART00574,MAG012,SUP010,LE002,PO5407395,20241112,20241123,858,490.38,420746.04,11
ART00081,MAG003,SUP062,LE001,PO3839250,20221207,20230119,736,8292.67,6103405.12,43
ART00132,MAG020,SUP056,LE003,PO1160783,20210420,20210502,1741,450.64,784564.24,12
ART00870,MAG002,SUP052,LE001,PO1137116,20240923,20241003,1278,188.48,240877.44,10
ART00995,MAG014,SUP039,LE002,PO7326435,20210512,20210708,1553,125.85,195445.05,57
ART00682,MAG003,SUP076,LE001,PO6403862,20210108,20210303,1789,18.23,32613.47,54
ART00388,MAG014,SUP049,LE002,PO7224594,20210913,20211030,183,76.33,13968.39,47
ART00171,MAG008,SUP051,LE001,PO5672341,20210122,20210211,608,372.88,226711.04,20
ART00944,MAG004,SUP060,LE001,PO7824429,20220707,20220713,1104,19.04,21020.16,6
ART00985,MAG014,SUP039,LE002,PO4770603,20221113,20221202,1992,334.56,666443.52,19
ART00440,MAG005,SUP072,LE001,PO1611046,20210928,,1468,1036.15,1521068.2,
ART00681,MAG012,SUP041,LE002,PO6292910,20230727,,498,26.29,13092.42,
ART00056,MAG016,SUP027,LE003,PO6086276,20210905,20211016,1205,43.17,52019.85,41
ART00417,MAG013,SUP077,LE002,PO5212340,20220809,20220911,621,57.24,35546.04,33
ART00347,MAG004,SUP076,LE001,PO9481388,20220226,20220313,856,85.53,73213.68,15
ART00308,MAG017,SUP032,LE003,PO8338128,20240502,20240617,715,144.49,103310.35,46
ART00863,MAG019,SUP053,LE003,PO4509829,20230401,20230503,263,32.31,8497.53,32
ART00298,MAG013,SUP034,LE002,PO4070849,20230904,20231029,503,15.95,8022.85,55
ART00515,MAG005,SUP030,LE001,PO6238141,20210908,20210914,766,40.54,31053.64,6
ART00598,MAG012,SUP075,LE002,PO9158589,20230330,,129,16.78,2164.62,
ART00774,MAG004,SUP060,LE001,PO6403156,20211202,20220106,96,32.17,3088.32,35
ART00011,MAG018,SUP008,LE003,PO6407205,20230822,20230830,1149,147.24,169178.76,8
ART00973,MAG005,SUP078,LE001,PO7753614,20231225,20240116,1561,199.92,312075.12,22
ART00159,MAG019,SUP040,LE003,PO3547822,20210603,20210703,384,669.71,257168.64,30
ART00161,MAG006,SUP078,LE001,PO5244311,20230311,20230418,1770,147.48,261039.6,38
ART00010,MAG008,SUP068,LE001,PO4714674,20220404,20220428,1982,287.06,568952.92,24
ART00846,MAG013,SUP078,LE002,PO8160919,20210919,20210928,1446,251.44,363582.24,9
ART00481,MAG011,SUP037,LE002,PO3236427,20211213,20220111,1705,244.21,416378.05,29
ART00342,MAG016,SUP023,LE003,PO1503593,20210218,,570,227.3,129561,
ART00678,MAG010,SUP037,LE002,PO7694101,20241013,20241106,1705,36,61380,24
ART00478,MAG011,SUP051,LE002,PO8207487,20211222,20220126,1474,600.55,885210.7,35
ART00194,MAG004,SUP006,LE001,PO7448717,20211021,20211213,831,27.51,22860.81,53
ART00800,MAG019,SUP053,LE003,PO2028318,20210521,20210621,51,26.28,1340.28,31
ART00271,MAG013,SUP064,LE002,PO2091802,20240731,20240901,1776,431.08,765598.08,32
ART00454,MAG010,SUP008,LE002,PO8171083,20241122,20241220,1702,143.56,244339.12,28
ART00529,MAG002,SUP019,LE001,PO5521861,20230116,20230204,1041,440.68,458747.88,19
ART00524,MAG015,SUP073,LE002,PO1990079,20210604,20210726,1265,30.66,38784.9,52
ART00533,MAG014,SUP057,LE002,PO9599957,20241123,20250111,44,38.7,1702.8,49
ART00721,MAG016,SUP043,LE003,PO1338322,20230716,20230901,458,18.98,8692.84,47
ART00385,MAG007,SUP011,LE001,PO2587520,20230404,20230516,359,0.9,323.1,42
ART00691,MAG018,SUP057,LE003,PO3394518,20240121,20240126,1102,46.5,51243,5
ART00493,MAG003,SUP059,LE001,PO4819497,20231218,,456,57.42,26183.52,
ART00548,MAG018,SUP059,LE003,PO4045686,20210111,20210210,729,79.61,58035.69,30
ART00665,MAG007,SUP044,LE001,PO5315992,20210407,20210413,1828,281.95,515404.6,6
ART00715,MAG017,SUP008,LE003,PO7153585,20240312,20240317,1722,189.01,325475.22,5
ART00348,MAG006,SUP056,LE001,PO9285496,20230420,,957,1728.89,1654547.73,
ART00786,MAG006,SUP069,LE001,PO5283037,20241208,20241221,1687,1071.41,1807468.67,13
ART00934,MAG006,SUP010,LE001,PO3722851,20220122,,1965,72.96,143366.4,
ART00037,MAG019,SUP010,LE003,PO5720307,20241106,20241229,1160,671.19,778580.4,53
ART00135,MAG013,SUP004,LE002,PO1555062,20230417,20230421,1450,359.19,520825.5,4
ART00676,MAG020,SUP046,LE003,PO6859634,20221130,20230125,1341,259.81,348405.21,56
ART00479,MAG002,SUP030,LE001,PO3038087,20241230,20250120,1288,3.14,4044.32,21
ART00318,MAG013,SUP072,LE002,PO3286056,20220528,,1017,2061.56,2096606.52,
ART00028,MAG007,SUP080,LE001,PO3357728,20220105,20220116,1923,3.32,6384.36,11
ART00546,MAG005,SUP041,LE001,PO1132649,20230724,20230802,289,33.84,9779.76,9
ART00269,MAG015,SUP038,LE002,PO6637747,20230407,,995,3230.04,3213889.8,
ART00548,MAG017,SUP078,LE003,PO9540308,20210204,20210403,1300,70.21,91273,58
ART00175,MAG011,SUP048,LE002,PO8808339,20210416,20210612,686,28.27,19393.22,57
ART00477,MAG009,SUP080,LE002,PO3298183,20220731,20220828,618,228.54,141237.72,28
ART00099,MAG004,SUP077,LE001,PO4038075,20220715,20220830,1773,67.25,119234.25,46
ART00606,MAG019,SUP077,LE003,PO6992916,20241019,20241130,381,22.18,8450.58,42
ART00698,MAG003,SUP036,LE001,PO8682450,20240109,20240119,721,149.34,107674.14,10
ART00546,MAG017,SUP013,LE003,PO3244780,20220223,20220415,1934,36.94,71441.96,51
ART00006,MAG003,SUP013,LE001,PO8952156,20221213,20230113,729,87.36,63685.44,31
ART00784,MAG014,SUP041,LE002,PO8858869,20220113,20220219,70,10.38,726.6,37
ART00922,MAG018,SUP029,LE003,PO1754209,20221005,20221021,192,10.63,2040.96,16
