ITEM_NO,WH_CODE,SUP_CODE,LE_CODE,PO_REF,PO_DATE,RCPT_DATE,QTY,PRICE,TOT_VAL,LEAD_DAYS
ART00983,MAG010,SUP072,LE002,PO5181765,05/30/2024,07/13/2024,1412,1796.09,2536079.08,44
ART00273,MAG005,SUP009,LE001,PO4928898,12/14/2022,02/02/2023,963,127.49,122772.87,50
ART00676,MAG018,SUP012,LE003,PO1082258,05/30/2022,07/27/2022,178,298.28,53093.84,58
ART00499,MAG019,SUP061,LE003,PO6619376,09/12/2024,10/20/2024,1761,11.61,20445.21,38
ART00873,MAG014,SUP029,LE002,PO8984032,11/23/2024,12/18/2024,426,227.06,96727.56,25
ART00746,MAG004,SUP071,LE001,PO7772397,05/20/2022,06/07/2022,1650,15.78,26037,18
ART00686,MAG006,SUP022,LE001,PO4480471,01/23/2024,03/02/2024,330,2039.11,672906.3,39
ART00866,MAG017,SUP067,LE003,PO3200638,03/23/2021,04/28/2021,1803,56.83,102464.49,36
ART00648,MAG009,SUP015,LE002,PO1499865,02/07/2023,03/17/2023,1252,20.78,26016.56,38
ART00431,MAG011,SUP074,LE002,PO7252152,09/24/2021,10/10/2021,1019,17.44,17771.36,16
ART00278,MAG004,SUP042,LE001,PO8995651,09/14/2023,10/06/2023,323,22.98,7422.54,22
ART00085,MAG019,SUP065,LE003,PO5003054,01/25/2024,02/13/2024,111,88.18,9787.98,19
ART00808,MAG005,SUP080,LE001,PO7754831,03/06/2023,03/26/2023,501,350.53,175615.53,20
ART00704,MAG016,SUP042,LE003,PO7451182,12/18/2023,01/09/2024,1834,16.42,30114.28,22
ART00994,MAG002,SUP048,LE001,PO7652664,04/19/2022,05/16/2022,1346,58.25,78404.5,27
ART00574,MAG004,SUP005,LE001,PO6663871,10/01/2021,,774,399.44,309166.56,
ART00784,MAG010,SUP042,LE002,PO4931786,11/28/2021,01/12/2022,95,9.39,892.05,45
ART00193,MAG003,SUP017,LE001,PO7082937,01/19/2023,03/16/2023,27,150.41,4061.07,56
ART00191,MAG008,SUP046,LE001,PO3333859,05/15/2023,06/02/2023,1219,638.34,778136.46,18
ART00353,MAG012,SUP002,LE002,PO5440026,09/26/2022,10/22/2022,187,12.8,2393.6,26
ART00535,MAG018,SUP072,LE003,PO4161889,11/14/2024,,1164,519.81,605058.84,
ART00065,MAG013,SUP072,LE002,PO9985437,08/28/2024,09/21/2024,467,2467.83,1152476.61,24
ART00746,MAG019,SUP079,LE003,PO7601333,10/05/2022,12/04/2022,1335,14.15,18890.25,60
ART00246,MAG015,SUP041,LE002,PO2983538,10/04/2022,,385,7.06,2718.1,
ART00992,MAG010,SUP015,LE002,PO6878117,10/22/2023,10/30/2023,1079,283.94,306371.26,8
ART00166,MAG013,SUP065,LE002,PO4677920,02/03/2022,,918,46.6,42778.8,
ART00578,MAG003,SUP028,LE001,PO4081698,08/21/2023,09/05/2023,754,794.85,599316.9,15
ART00455,MAG009,SUP068,LE002,PO3179394,05/16/2023,05/19/2023,548,375.03,205516.44,3
ART00058,MAG010,SUP022,LE002,PO6731284,03/31/2023,04/23/2023,1576,1085.01,1709975.76,23
ART00189,MAG002,SUP024,LE001,PO2979974,07/02/2023,08/04/2023,70,181.69,12718.3,33
ART00056,MAG012,SUP076,LE002,PO2413346,09/29/2024,11/27/2024,1398,31.3,43757.4,59
ART00954,MAG005,SUP063,LE001,PO6045946,10/17/2021,12/03/2021,607,23.5,14264.5,47
ART00006,MAG009,SUP003,LE002,PO1068550,05/23/2024,06/05/2024,45,84.29,3793.05,13
ART00101,MAG018,SUP032,LE003,PO2693183,04/24/2022,04/29/2022,1714,64.69,110878.66,5
ART00007,MAG010,SUP071,LE002,PO2756214,12/03/2021,01/03/2022,401,141.24,56637.24,31
ART00219,MAG004,SUP014,LE001,PO6697796,12/19/2023,01/20/2024,985,738.95,727865.75,32
ART00839,MAG017,SUP073,LE003,PO2974444,04/13/2022,,1899,32.74,62173.26,
ART00014,MAG013,SUP016,LE002,PO9345268,12/04/2022,01/03/2023,1060,74.24,78694.4,30
ART00922,MAG005,SUP041,LE001,PO5864049,11/05/2022,11/23/2022,1543,11.09,17111.87,18
ART00929,MAG014,SUP051,LE002,PO8371191,11/12/2024,12/07/2024,462,434.99,200965.38,25
ART00401,MAG017,SUP047,LE003,PO8874375,02/14/2024,,134,4822.4,646201.6,
ART00529,MAG018,SUP007,LE003,PO8996724,09/03/2021,10/13/2021,1140,403.14,459579.6,40
ART00711,MAG002,SUP016,LE001,PO5719176,01/20/2023,01/23/2023,1857,8266.17,15350277.69,3
ART00352,MAG007,SUP064,LE001,PO4511910,02/05/2024,04/01/2024,155,445.34,69027.7,56
ART00402,MAG017,SUP022,LE003,PO2700650,12/17/2024,01/02/2025,1922,1769.16,3400325.52,16
ART00187,MAG018,SUP059,LE003,PO9109962,01/02/2023,02/16/2023,1374,222.51,305728.74,45
ART00095,MAG019,SUP022,LE003,PO9729762,03/14/2023,05/01/2023,1317,1117.1,1471220.7,48
ART00073,MAG014,SUP045,LE002,PO1925657,09/09/2024,10/02/2024,1639,7.48,12259.72,23
ART00049,MAG003,SUP003,LE001,PO5620987,07/23/2024,07/26/2024,435,103.48,45013.8,3
ART00676,MAG008,SUP078,LE001,PO3480952,12/04/2022,01/05/2023,247,292.29,72195.63,32
ART00349,MAG016,SUP036,LE003,PO5489582,07/20/2023,07/30/2023,1673,238.61,399194.53,10
ART00263,MAG005,SUP003,LE001,PO3990952,03/08/2023,,1191,61.62,73389.42,
ART00892,MAG018,SUP047,LE003,PO9329533,07/07/2021,07/25/2021,1687,315.61,532434.07,18
ART00876,MAG004,SUP029,LE001,PO5233360,09/15/2023,11/14/2023,93,311.33,28953.69,60
ART00257,MAG020,SUP034,LE003,PO9100284,10/02/2023,10/22/2023,420,1326.59,557167.8,20
ART00246,MAG014,SUP027,LE002,PO7934519,12/07/2022,01/23/2023,137,6.65,911.05,47
ART00769,MAG016,SUP027,LE003,PO8900380,08/22/2024,09/25/2024,600,27.15,16290,34
ART00524,MAG001,SUP057,LE001,PO3875191,10/28/2023,,40,29.28,1171.2,
ART00410,MAG014,SUP073,LE002,PO6056156,11/04/2023,12/06/2023,1859,29.39,54636.01,32
ART00484,MAG015,SUP020,LE002,PO7169179,09/15/2022,10/28/2022,1348,214.51,289159.48,43
ART00507,MAG003,SUP065,LE001,PO9203578,08/20/2021,10/13/2021,113,550.65,62223.45,54
ART00248,MAG010,SUP027,LE002,PO8417930,02/24/2023,03/20/2023,1052,11.01,11582.52,24
ART00838,MAG004,SUP069,LE001,PO9691389,07/01/2022,07/20/2022,1333,7932.26,10573702.58,19
ART00974,MAG006,SUP048,LE001,PO7694239,06/21/2024,07/30/2024,1862,188.49,350968.38,39
ART00713,MAG014,SUP023,LE002,PO4883653,11/29/2024,12/03/2024,1467,509.4,747289.8,4
ART00593,MAG018,SUP007,LE003,PO5558180,05/27/2023,07/06/2023,1108,9.95,11024.6,40
ART00868,MAG011,SUP007,LE002,PO3189847,07/17/2024,,530,1003.68,531950.4,
ART00923,MAG019,SUP038,LE003,PO4558385,06/29/2024,07/08/2024,1611,146,235206,9
ART00530,MAG018,SUP066,LE003,PO5900620,10/11/2022,11/08/2022,1611,1488.03,2397216.33,28
ART00228,MAG005,SUP024,LE001,PO3921806,11/04/2023,12/24/2023,498,49.41,24606.18,50
ART00467,MAG002,SUP017,LE001,PO8157328,09/23/2021,10/31/2021,1952,39.26,76635.52,38
ART00169,MAG017,SUP028,LE003,PO8385070,08/23/2023,09/02/2023,290,293.65,85158.5,10
ART00255,MAG014,SUP045,LE002,PO9633502,10/12/2023,11/22/2023,1696,9.62,16315.52,41
ART00795,MAG008,SUP041,LE001,PO2370572,03/17/2024,04/23/2024,1247,23.95,29865.65,37
ART00813,MAG003,SUP062,LE001,PO9756333,09/12/2022,10/26/2022,512,56.8,29081.6,44
ART00320,MAG006,SUP071,LE001,PO4960406,12/15/2024,12/30/2024,333,21.1,7026.3,15
ART00121,MAG019,SUP030,LE003,PO9546344,05/16/2022,06/24/2022,739,74.82,55291.98,39
ART00621,MAG001,SUP072,LE001,PO8371284,12/08/2022,12/31/2022,681,1518.77,1034282.37,23
ART00839,MAG010,SUP073,LE002,PO8403330,04/15/2024,05/18/2024,209,37.73,7885.57,33
ART00298,MAG003,SUP050,LE001,PO9883553,06/26/2022,07/04/2022,50,14.57,728.5,8
ART00091,MAG010,SUP063,LE002,PO4416728,10/08/2021,12/04/2021,381,62.34,23751.54,58
ART00509,MAG002,SUP055,LE001,PO7427432,07/26/2022,,1080,263.48,284558.4,
ART00856,MAG010,SUP007,LE002,PO9028518,01/06/2024,02/01/2024,1982,113.84,225630.88,26
ART00808,MAG002,SUP037,LE001,PO2279613,05/01/2021,06/27/2021,841,462.44,388912.04,57
ART00542,MAG014,SUP018,LE002,PO8126790,02/03/2022,03/05/2022,789,30.04,23701.56,30
ART00354,MAG013,SUP021,LE002,PO9573327,06/24/2022,07/19/2022,1498,223.65,335027.7,25
ART00819,MAG010,SUP025,LE002,PO1898097,10/30/2021,11/20/2021,678,216.13,146536.14,21
ART00472,MAG008,SUP076,LE001,PO7575018,12/28/2024,01/09/2025,580,24.96,14476.8,12
ART00353,MAG007,SUP048,LE001,PO6016733,10/04/2021,11/13/2021,1674,11.45,19167.3,40
ART00344,MAG011,SUP008,LE002,PO1930742,10/23/2022,12/17/2022,1681,85.41,143574.21,55
ART00796,MAG004,SUP045,LE001,PO6999031,02/19/2023,04/03/2023,1095,138.37,151515.15,43
ART00069,MAG009,SUP036,LE002,PO5335420,12/07/2021,01/20/2022,1085,378.38,410542.3,44
ART00391,MAG013,SUP013,LE002,PO1800846,02/06/2024,02/15/2024,440,166.17,73114.8,9
ART00088,MAG012,SUP048,LE002,PO5328058,08/30/2023,09/06/2023,121,47.34,5728.14,7
ART00997,MAG002,SUP050,LE001,PO1986312,01/16/2023,01/31/2023,1231,68.11,83843.41,15
ART00376,MAG004,SUP079,LE001,PO4166084,05/19/2023,,1743,27.83,48507.69,
ART00679,MAG003,SUP057,LE001,PO2046019,04/03/2021,04/29/2021,1432,32.85,47041.2,26
ART00937,MAG001,SUP048,LE001,PO9981897,07/19/2023,08/13/2023,217,67.94,14742.98,25
ART00125,MAG017,SUP014,LE003,PO3692729,11/16/2023,12/30/2023,590,368.36,217332.4,44
ART00703,MAG002,SUP002,LE001,PO4674777,06/02/2024,07/22/2024,1247,9.05,11285.35,50
ART00461,MAG014,SUP007,LE002,PO1212755,04/17/2023,05/21/2023,367,34.76,12756.92,34
ART00828,MAG002,SUP064,LE001,PO6241267,01/28/2021,03/07/2021,599,359.59,215394.41,38
ART00958,MAG003,SUP010,LE001,PO6201131,12/06/2021,12/19/2021,1644,367.4,604005.6,13
ART00559,MAG017,SUP002,LE003,PO3497159,04/20/2024,,1452,1.15,1669.8,
ART00908,MAG015,SUP079,LE002,PO3258691,08/11/2024,09/28/2024,1814,136.78,248118.92,48
ART00925,MAG010,SUP076,LE002,PO2394204,11/28/2023,01/24/2024,1539,5.85,9003.15,57
ART00734,MAG002,SUP036,LE001,PO9479194,06/25/2023,08/08/2023,430,164.88,70898.4,44
ART00862,MAG004,SUP062,LE001,PO2384675,01/09/2022,02/18/2022,1371,107.08,146806.68,40
ART00751,MAG007,SUP006,LE001,PO7804609,07/23/2023,08/22/2023,1873,419.67,786041.91,30
ART00692,MAG020,SUP073,LE003,PO2536908,12/12/2024,01/14/2025,1510,39.99,60384.9,33
ART00051,MAG002,SUP010,LE001,PO3576688,01/14/2022,02/26/2022,230,505.35,116230.5,43
ART00170,MAG014,SUP048,LE002,PO4354942,02/18/2023,04/06/2023,1287,4.41,5675.67,47
ART00994,MAG010,SUP036,LE002,PO5862955,04/25/2023,06/18/2023,1923,58.07,111668.61,54
ART00300,MAG004,SUP034,LE001,PO7505387,10/17/2021,12/02/2021,1850,87.07,161079.5,46
ART00194,MAG006,SUP041,LE001,PO7385238,11/10/2024,01/02/2025,426,26.48,11280.48,53
ART00676,MAG001,SUP024,LE001,PO5904643,10/24/2021,10/30/2021,987,280.37,276725.19,6
ART00721,MAG004,SUP033,LE001,PO3128853,01/09/2022,01/20/2022,1522,20.11,30607.42,11
ART00743,MAG005,SUP064,LE001,PO2869597,05/31/2023,07/29/2023,1575,560.49,882771.75,59
ART00307,MAG019,SUP003,LE003,PO8960594,09/17/2024,10/25/2024,449,111.34,49991.66,38
ART00606,MAG014,SUP002,LE002,PO3284917,03/12/2022,04/27/2022,133,19.1,2540.3,46
ART00077,MAG004,SUP036,LE001,PO7833620,03/10/2024,03/29/2024,429,323.47,138768.63,19
ART00326,MAG013,SUP028,LE002,PO5990082,02/11/2024,,299,8098.75,2421526.25,
ART00574,MAG012,SUP010,LE002,PO5407395,11/12/2024,11/23/2024,858,490.38,420746.04,11
ART00081,MAG003,SUP062,LE001,PO3839250,12/07/2022,01/19/2023,736,8292.67,6103405.12,43
ART00132,MAG020,SUP056,LE003,PO1160783,04/20/2021,05/02/2021,1741,450.64,784564.24,12
ART00870,MAG002,SUP052,LE001,PO1137116,09/23/2024,10/03/2024,1278,188.48,240877.44,10
ART00995,MAG014,SUP039,LE002,PO7326435,05/12/2021,07/08/2021,1553,125.85,195445.05,57
ART00682,MAG003,SUP076,LE001,PO6403862,01/08/2021,03/03/2021,1789,18.23,32613.47,54
ART00388,MAG014,SUP049,LE002,PO7224594,09/13/2021,10/30/2021,183,76.33,13968.39,47
ART00171,MAG008,SUP051,LE001,PO5672341,01/22/2021,02/11/2021,608,372.88,226711.04,20
ART00944,MAG004,SUP060,LE001,PO7824429,07/07/2022,07/13/2022,1104,19.04,21020.16,6
ART00985,MAG014,SUP039,LE002,PO4770603,11/13/2022,12/02/2022,1992,334.56,666443.52,19
ART00440,MAG005,SUP072,LE001,PO1611046,09/28/2021,,1468,1036.15,1521068.2,
ART00681,MAG012,SUP041,LE002,PO6292910,07/27/2023,,498,26.29,13092.42,
ART00056,MAG016,SUP027,LE003,PO6086276,09/05/2021,10/16/2021,1205,43.17,52019.85,41
ART00417,MAG013,SUP077,LE002,PO5212340,08/09/2022,09/11/2022,621,57.24,35546.04,33
ART00347,MAG004,SUP076,LE001,PO9481388,02/26/2022,03/13/2022,856,85.53,73213.68,15
ART00308,MAG017,SUP032,LE003,PO8338128,05/02/2024,06/17/2024,715,144.49,103310.35,46
ART00863,MAG019,SUP053,LE003,PO4509829,04/01/2023,05/03/2023,263,32.31,8497.53,32
ART00298,MAG013,SUP034,LE002,PO4070849,09/04/2023,10/29/2023,503,15.95,8022.85,55
ART00515,MAG005,SUP030,LE001,PO6238141,09/08/2021,09/14/2021,766,40.54,31053.64,6
ART00598,MAG012,SUP075,LE002,PO9158589,03/30/2023,,129,16.78,2164.62,
ART00774,MAG004,SUP060,LE001,PO6403156,12/02/2021,01/06/2022,96,32.17,3088.32,35
ART00011,MAG018,SUP008,LE003,PO6407205,08/22/2023,08/30/2023,1149,147.24,169178.76,8
ART00973,MAG005,SUP078,LE001,PO7753614,12/25/2023,01/16/2024,1561,199.92,312075.12,22
ART00159,MAG019,SUP040,LE003,PO3547822,06/03/2021,07/03/2021,384,669.71,257168.64,30
ART00161,MAG006,SUP078,LE001,PO5244311,03/11/2023,04/18/2023,1770,147.48,261039.6,38
ART00010,MAG008,SUP068,LE001,PO4714674,04/04/2022,04/28/2022,1982,287.06,568952.92,24
ART00846,MAG013,SUP078,LE002,PO8160919,09/19/2021,09/28/2021,1446,251.44,363582.24,9
ART00481,MAG011,SUP037,LE002,PO3236427,12/13/2021,01/11/2022,1705,244.21,416378.05,29
ART00342,MAG016,SUP023,LE003,PO1503593,02/18/2021,,570,227.3,129561,
ART00678,MAG010,SUP037,LE002,PO7694101,10/13/2024,11/06/2024,1705,36,61380,24
ART00478,MAG011,SUP051,LE002,PO8207487,12/22/2021,01/26/2022,1474,600.55,885210.7,35
ART00194,MAG004,SUP006,LE001,PO7448717,10/21/2021,12/13/2021,831,27.51,22860.81,53
ART00800,MAG019,SUP053,LE003,PO2028318,05/21/2021,06/21/2021,51,26.28,1340.28,31
